wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,event,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration
08limi,23213101,281,1,2014,8/26/15,778,10/12/17,8/26/15,1,Ebola,1,1,RVSV-ZEBOV vaccine,11/18/14,11/18/14
09flower,23214516,0,1,2014,11/18/14,1059,10/12/17,11/18/14,1,Ebola,1,1,Responses to the West African Ebola virus epidemic,11/18/14,11/18/14
21 bruh,23252097,0,1,2014,11/21/14,1056,10/12/17,11/21/14,1,Ebola,1,1,Ebola virus disease,11/21/14,11/21/14
2manyJimmiesRustled,22044636,0,1,2014,8/4/14,1165,10/12/17,8/4/14,1,Ebola,1,1,Ebola virus disease,8/4/14,8/4/14
3!13,22271024,998,1,2014,5/14/17,151,10/12/17,5/14/17,1,Ebola,1,1,West African Ebola virus epidemic,8/20/14,8/20/14
Aangell123,23430388,4,1,2014,12/12/14,1035,10/12/17,12/12/14,0,Ebola,2,2,West African Ebola virus epidemic,12/12/14,12/8/14
Abcdefghijklmnopqrstuvwxyz12345678910111,23172042,0,1,2014,11/14/14,1063,10/12/17,11/14/14,1,Ebola,1,1,Ebola virus cases in the United States,11/14/14,11/14/14
Abiyarajan77,22773833,382,1,2014,10/24/15,719,10/12/17,10/24/15,1,Ebola,1,1,West African Ebola virus epidemic,10/7/14,10/7/14
Afk3004,23010510,0,1,2014,10/29/14,1079,10/12/17,10/29/14,1,Ebola,1,1,West African Ebola virus epidemic,10/29/14,10/29/14
Agiufurta,22851142,615,1,2014,6/21/16,478,10/12/17,6/21/16,0,Ebola,2,2,Ebola virus cases in the United States,10/23/14,10/15/14
Ahavahisrael,22057934,78,1,2014,10/21/14,1087,10/12/17,10/21/14,0,Ebola,2,2,West African Ebola virus epidemic,8/4/14,8/4/14
Alvisprabhu1,22174142,0,1,2014,8/12/14,1157,10/12/17,8/12/14,1,Ebola,1,1,West African Ebola virus epidemic,8/12/14,8/12/14
Ammorain,22736357,328,1,2014,8/27/15,777,10/12/17,8/27/15,0,Ebola,2,2,Responses to the West African Ebola virus epidemic,10/3/14,10/3/14
AngelisDragon,23051129,1,1,2014,11/3/14,1074,10/12/17,11/3/14,1,Ebola,1,1,Ebola virus epidemic in Liberia,11/2/14,11/2/14
Anthony112358,24732752,0,1,2015,4/11/15,915,10/12/17,4/11/15,1,Ebola,1,1,West African Ebola virus epidemic,4/11/15,4/11/15
Apox 24,22213692,0,1,2014,8/15/14,1154,10/12/17,8/15/14,1,Ebola,1,1,West African Ebola virus epidemic,8/15/14,8/15/14
Aragornbattle,22806372,0,1,2014,10/10/14,1098,10/12/17,10/10/14,1,Ebola,1,1,West African Ebola virus epidemic,10/10/14,10/10/14
Asracing120,23254673,0,1,2014,11/22/14,1055,10/12/17,11/22/14,1,Ebola,1,1,Ebola virus disease,11/22/14,11/22/14
Assasin chan666,22822332,0,1,2014,10/12/14,1096,10/12/17,10/12/14,1,Ebola,1,1,West African Ebola virus epidemic,10/12/14,10/12/14
AuxZane,22488679,421,1,2014,11/5/15,707,10/12/17,11/5/15,0,Ebola,2,2,West African Ebola virus epidemic,10/15/14,9/10/14
Bhavinderrao9,21896149,12,1,2014,8/4/14,1165,10/12/17,8/4/14,1,Ebola,1,1,Ebola virus disease,8/4/14,7/23/14
BookOfJahMez,22961808,0,1,2014,10/25/14,1083,10/12/17,10/25/14,1,Ebola,1,1,Ebola virus cases in the United States,10/25/14,10/25/14
BrianGroen,22058183,657,1,2014,5/22/16,508,10/12/17,5/22/16,1,Ebola,1,1,West African Ebola virus epidemic,8/4/14,8/4/14
CDC Latam,22210107,0,1,2014,8/15/14,1154,10/12/17,8/15/14,1,Ebola,1,1,West African Ebola virus epidemic,8/15/14,8/15/14
Calthaus,22394843,99,1,2014,12/9/14,1038,10/12/17,12/9/14,1,Ebola,1,1,West African Ebola virus epidemic,9/19/14,9/1/14
Car200,21926087,0,1,2014,7/26/14,1174,10/12/17,7/26/14,1,Ebola,1,1,West African Ebola virus epidemic,7/26/14,7/26/14
Carcake1999,22493912,36,1,2014,10/16/14,1092,10/12/17,10/16/14,0,Ebola,2,2,Ebola virus cases in the United States,10/8/14,9/10/14
Cfcgau,23042377,0,1,2014,11/2/14,1075,10/12/17,11/2/14,1,Ebola,1,1,West African Ebola virus epidemic,11/2/14,11/2/14
Chaiso123,23399457,0,1,2014,12/6/14,1041,10/12/17,12/6/14,0,Ebola,2,2,West African Ebola virus epidemic,12/6/14,12/6/14
Chibike94,21970264,0,1,2014,7/31/14,1169,10/12/17,7/31/14,1,Ebola,1,1,Ebola virus disease,7/31/14,7/31/14
Chizzy92,21965356,0,1,2014,7/30/14,1170,10/12/17,7/30/14,1,Ebola,1,1,Ebola virus disease,7/30/14,7/30/14
Chyluchicago,22725398,24,1,2014,10/26/14,1082,10/12/17,10/26/14,0,Ebola,2,2,West African Ebola virus epidemic,10/26/14,10/2/14
Clinton227,23274467,0,1,2014,11/24/14,1053,10/12/17,11/24/14,1,Ebola,1,1,Ebola virus disease,11/24/14,11/24/14
Coolguy1235,23142341,0,1,2014,11/11/14,1066,10/12/17,11/11/14,1,Ebola,1,1,Ebola virus,11/11/14,11/11/14
Daqueenonmypeen,23265487,0,1,2014,11/23/14,1054,10/12/17,11/23/14,1,Ebola,1,1,Ebola virus disease,11/23/14,11/23/14
Deangelohnynjyjyj,22947010,0,1,2014,10/23/14,1085,10/12/17,10/23/14,1,Ebola,1,1,Ebola virus cases in the United States,10/23/14,10/23/14
Doc Ayomide,21941077,11,1,2014,8/8/14,1161,10/12/17,8/8/14,1,Ebola,1,1,Ebola virus disease,7/28/14,7/28/14
Doctorjokes,22166581,0,1,2014,8/11/14,1158,10/12/17,8/11/14,1,Ebola,1,1,West African Ebola virus epidemic,8/11/14,8/11/14
DomanicAssyrian,22951759,4,1,2014,10/28/14,1080,10/12/17,10/28/14,1,Ebola,4,3,West African Ebola virus epidemic,10/28/14,10/24/14
DoubleDr,23868411,81,1,2015,4/13/15,913,10/12/17,4/13/15,0,Ebola,2,2,West African Ebola virus epidemic,2/17/15,1/22/15
Dr.Oberd,23509049,76,1,2014,3/2/15,955,10/12/17,3/2/15,1,Ebola,1,1,West African Ebola virus epidemic,12/16/14,12/16/14
DuckMan23,22079756,1,1,2014,8/6/14,1163,10/12/17,8/6/14,1,Ebola,1,1,West African Ebola virus epidemic,8/5/14,8/5/14
Dylang010,22011743,0,1,2014,8/2/14,1167,10/12/17,8/2/14,1,Ebola,1,1,Ebola virus disease,8/2/14,8/2/14
Ebola guy,21959760,0,1,2014,7/30/14,1170,10/12/17,7/30/14,1,Ebola,1,1,User talk:Ebola guy,7/30/14,7/30/14
Editboyxxx999snipez,22764491,0,1,2014,10/6/14,1102,10/12/17,10/6/14,1,Ebola,1,1,Ebola virus,10/6/14,10/6/14
Emily1015,21730821,0,1,2014,6/30/14,1200,10/12/17,6/30/14,0,Ebola,2,2,Ebola virus disease,6/30/14,6/30/14
Enhickman,22523564,0,1,2014,9/13/14,1125,10/12/17,9/13/14,1,Ebola,1,1,West African Ebola virus epidemic,9/13/14,9/13/14
EoRdE6,22581480,1120,0,2014,10/12/17,0,10/12/17,10/12/17,0,Ebola,2,2,Talk:Ebola virus cases in the United States,10/3/14,9/18/14
Erinarrow,25137754,872,0,2015,9/28/17,14,10/12/17,9/28/17,1,Ebola,1,1,Ebola virus epidemic in Liberia,5/10/15,5/10/15
Excetor,22525551,0,1,2014,9/13/14,1125,10/12/17,9/13/14,1,Ebola,1,1,West African Ebola virus epidemic,9/13/14,9/13/14
ExoSuho,21844486,17,1,2014,8/2/14,1167,10/12/17,8/2/14,1,Ebola,1,1,Ebola virus disease,7/16/14,7/16/14
F Camp,22126370,41,1,2014,9/18/14,1120,10/12/17,9/18/14,0,Ebola,2,2,West African Ebola virus epidemic,8/28/14,8/8/14
Fakecolepoland,22002453,0,1,2014,8/1/14,1168,10/12/17,8/1/14,1,Ebola,1,1,Ebola virus disease,8/1/14,8/1/14
Fgauivfhrhgfighifdh,25147706,0,1,2015,5/11/15,885,10/12/17,5/11/15,1,Ebola,1,1,Ebola virus epidemic in Liberia,5/11/15,5/11/15
FourViolas,22764313,1103,0,2014,10/13/17,-1,10/12/17,10/13/17,0,Ebola,3,3,West African Ebola virus epidemic,11/3/14,10/6/14
Frostayy,22799226,0,1,2014,10/9/14,1099,10/12/17,10/9/14,1,Ebola,1,1,West African Ebola virus epidemic,10/9/14,10/9/14
Frostnibble12343456,22940347,0,1,2014,10/23/14,1085,10/12/17,10/23/14,1,Ebola,1,1,West African Ebola virus epidemic,10/23/14,10/23/14
Gggff555,22857826,0,1,2014,10/15/14,1093,10/12/17,10/15/14,1,Ebola,1,1,Ebola virus cases in the United States,10/15/14,10/15/14
GianDawal1234,24169389,57,1,2015,4/17/15,909,10/12/17,4/17/15,0,Ebola,2,2,West African Ebola virus epidemic,2/22/15,2/19/15
Goalieboss,22827806,11,1,2014,10/23/14,1085,10/12/17,10/23/14,1,Ebola,1,1,West African Ebola virus epidemic,10/23/14,10/12/14
Goaliegirl133,23213899,0,1,2014,11/18/14,1059,10/12/17,11/18/14,1,Ebola,1,1,Ebola virus cases in the United States,11/18/14,11/18/14
Gonzales2011,21715655,0,1,2014,6/28/14,1202,10/12/17,6/28/14,1,Ebola,1,1,West African Ebola virus epidemic,6/28/14,6/28/14
Gorblestein,22800527,0,1,2014,10/10/14,1098,10/12/17,10/10/14,1,Ebola,1,1,West African Ebola virus epidemic,10/10/14,10/10/14
Ham.star.01,22812081,0,1,2014,10/11/14,1097,10/12/17,10/11/14,1,Ebola,1,1,West African Ebola virus epidemic,10/11/14,10/11/14
Handsomewealth,22568229,0,1,2014,9/17/14,1121,10/12/17,9/17/14,1,Ebola,1,1,Ebola virus,9/17/14,9/17/14
Harrismark,21938133,11,1,2014,8/7/14,1162,10/12/17,8/7/14,0,Ebola,2,2,Ebola virus disease,8/4/14,7/27/14
Hemlata0005,22287630,0,1,2014,8/22/14,1147,10/12/17,8/22/14,1,Ebola,1,1,Ebola virus,8/22/14,8/22/14
Hobbes7,23076611,95,1,2014,2/8/15,977,10/12/17,2/8/15,0,Ebola,2,2,Ebola virus cases in the United States,11/15/14,11/5/14
Homomnius,21685326,0,1,2014,6/24/14,1206,10/12/17,6/24/14,1,Ebola,1,1,Ebola virus disease,6/24/14,6/24/14
Hrrael,22986945,0,1,2014,10/27/14,1081,10/12/17,10/27/14,1,Ebola,1,1,West African Ebola virus epidemic,10/27/14,10/27/14
IRVONBRABBS420BLAZE,23580979,0,1,2014,12/24/14,1023,10/12/17,12/24/14,1,Ebola,1,1,Ebola virus,12/24/14,12/24/14
Iamchukzzy,22781464,0,1,2014,10/8/14,1100,10/12/17,10/8/14,1,Ebola,1,1,West African Ebola virus epidemic,10/8/14,10/8/14
Igor gdsgsdgifsscvu,23732876,0,1,2015,1/9/15,1007,10/12/17,1/9/15,1,Ebola,1,1,Ebola virus,1/9/15,1/9/15
Ija2002,22732690,5,1,2014,10/8/14,1100,10/12/17,10/8/14,1,Ebola,1,1,West African Ebola virus epidemic,10/3/14,10/3/14
Inemudom,21965466,0,1,2014,7/30/14,1170,10/12/17,7/30/14,1,Ebola,1,1,Ebola virus disease,7/30/14,7/30/14
Irishlad99,22216664,568,1,2014,3/5/16,586,10/12/17,3/5/16,1,Ebola,1,1,West African Ebola virus epidemic,8/15/14,8/15/14
Iron Caterpillar,22778720,6,1,2014,10/14/14,1094,10/12/17,10/14/14,1,Ebola,4,3,West African Ebola virus epidemic,10/14/14,10/8/14
Iwalrusfriend,23257101,0,1,2014,11/22/14,1055,10/12/17,11/22/14,1,Ebola,1,1,Ebola virus disease,11/22/14,11/22/14
JafarFromAfar,23504924,0,1,2014,12/16/14,1031,10/12/17,12/16/14,0,Ebola,2,2,Ebola virus,12/16/14,12/16/14
Jaxst99,23060270,0,1,2014,11/3/14,1074,10/12/17,11/3/14,1,Ebola,1,1,West African Ebola virus epidemic,11/3/14,11/3/14
Jetsmoothin,22407763,29,1,2014,10/1/14,1107,10/12/17,10/1/14,0,Ebola,2,2,Ebola virus,10/1/14,9/2/14
Jhanae Kelly,22057832,0,1,2014,8/4/14,1165,10/12/17,8/4/14,1,Ebola,1,1,West African Ebola virus epidemic,8/4/14,8/4/14
Jimothyjones123,22798829,0,1,2014,10/9/14,1099,10/12/17,10/9/14,1,Ebola,1,1,West African Ebola virus epidemic,10/9/14,10/9/14
Jjayy138,22411359,35,1,2014,10/7/14,1101,10/12/17,10/7/14,0,Ebola,4,3,West African Ebola virus epidemic,9/23/14,9/2/14
Jlrubin,22545397,1103,0,2014,9/22/17,20,10/12/17,9/22/17,1,Ebola,1,1,Talk:West African Ebola virus epidemic,10/18/14,9/15/14
John Milton Nagel,22854370,0,1,2014,10/15/14,1093,10/12/17,10/15/14,1,Ebola,1,1,Ebola virus cases in the United States,10/15/14,10/15/14
Jsoik,23255479,0,1,2014,11/22/14,1055,10/12/17,11/22/14,1,Ebola,1,1,Ebola virus disease,11/22/14,11/22/14
Kachiokeke12,24242762,0,1,2015,2/25/15,960,10/12/17,2/25/15,1,Ebola,1,1,West African Ebola virus epidemic,2/25/15,2/25/15
Kakers100,22855597,13,1,2014,10/28/14,1080,10/12/17,10/28/14,1,Ebola,1,1,West African Ebola virus epidemic,10/28/14,10/15/14
Kanye East1234,24300299,0,1,2015,3/3/15,954,10/12/17,3/3/15,1,Ebola,1,1,Ebola virus,3/3/15,3/3/15
Kapibara100,24303793,821,1,2015,6/1/17,133,10/12/17,6/1/17,0,Ebola,4,3,Ebola virus cases in the United States,3/3/15,3/3/15
Kieran P. Clark,22986857,325,1,2014,9/17/15,756,10/12/17,9/17/15,0,Ebola,2,2,Ebola virus disease,11/7/14,10/27/14
Kowl00n,23237249,351,1,2014,11/6/15,706,10/12/17,11/6/15,0,Ebola,2,2,Responses to the West African Ebola virus epidemic,12/8/14,11/20/14
Kravinec,23170157,0,1,2014,11/13/14,1064,10/12/17,11/13/14,1,Ebola,1,1,Ebola virus cases in the United States,11/13/14,11/13/14
Krisdan55,22021075,0,1,2014,8/2/14,1167,10/12/17,8/2/14,1,Ebola,1,1,West African Ebola virus epidemic,8/2/14,8/2/14
Kwaks321,22942673,0,1,2014,10/23/14,1085,10/12/17,10/23/14,1,Ebola,1,1,Ebola virus cases in the United States,10/23/14,10/23/14
Kwbeie12,23096918,0,1,2014,11/7/14,1070,10/12/17,11/7/14,1,Ebola,1,1,West African Ebola virus epidemic,11/7/14,11/7/14
LLBeanBrother,21634751,78,1,2014,9/3/14,1135,10/12/17,9/3/14,0,Ebola,2,2,West African Ebola virus epidemic,7/2/14,6/17/14
Lashantae3,22623851,16,1,2014,10/8/14,1100,10/12/17,10/8/14,1,Ebola,1,1,Ebola virus,10/8/14,9/22/14
Lifebiomedguru,22147463,0,1,2014,8/10/14,1159,10/12/17,8/10/14,1,Ebola,4,3,Ebola virus,8/10/14,8/10/14
Lilnelson1234,23083653,6,1,2014,11/11/14,1066,10/12/17,11/11/14,1,Ebola,1,1,Ebola virus,11/11/14,11/5/14
Loudaboss,22778809,1,1,2014,10/9/14,1099,10/12/17,10/9/14,1,Ebola,1,1,West African Ebola virus epidemic,10/8/14,10/8/14
Lucazinzula,22121750,60,1,2014,10/7/14,1101,10/12/17,10/7/14,0,Ebola,2,2,Talk:Ebola virus disease,9/4/14,8/8/14
M.dajohnna,22747837,0,1,2014,10/5/14,1103,10/12/17,10/5/14,1,Ebola,1,1,Ebola virus,10/5/14,10/5/14
Mahhon,25099877,79,1,2015,7/25/15,810,10/12/17,7/25/15,0,Ebola,2,2,Ebola virus epidemic in Liberia,5/15/15,5/7/15
Mariquilla1988,22491234,261,1,2014,5/29/15,867,10/12/17,5/29/15,1,Ebola,3,3,Ebola virus disease in Spain,10/9/14,9/10/14
Mattswag5603,24427364,0,1,2015,3/14/15,943,10/12/17,3/14/15,1,Ebola,1,1,Ebola virus cases in the United States,3/14/15,3/14/15
Mejesik,23054210,0,1,2014,11/3/14,1074,10/12/17,11/3/14,0,Ebola,2,2,West African Ebola virus epidemic,11/3/14,11/3/14
Michael hunter,22655301,5,1,2014,9/30/14,1108,10/12/17,9/30/14,0,Ebola,2,2,West African Ebola virus epidemic,9/30/14,9/25/14
MissKatie89,21641081,16,1,2014,7/4/14,1196,10/12/17,7/4/14,1,Ebola,3,3,Ebola virus disease,6/18/14,6/18/14
Mj3322,22828071,143,1,2014,3/4/15,953,10/12/17,3/4/15,1,Ebola,1,1,West African Ebola virus epidemic,10/13/14,10/12/14
MrAtifAyub,23186517,28,1,2014,12/13/14,1034,10/12/17,12/13/14,1,Ebola,1,1,Ebola virus,12/13/14,11/15/14
MrHassanSan,22935515,5,1,2014,10/27/14,1081,10/12/17,10/27/14,1,Ebola,1,1,West African Ebola virus epidemic,10/22/14,10/22/14
Mrs.Maddys,23400956,0,1,2014,12/6/14,1041,10/12/17,12/6/14,1,Ebola,1,1,West African Ebola virus epidemic,12/6/14,12/6/14
Mtchief,21580764,11,1,2014,6/19/14,1211,10/12/17,6/19/14,1,Ebola,1,1,West African Ebola virus epidemic,6/8/14,6/8/14
Mucky Poo,22325480,39,1,2014,10/3/14,1105,10/12/17,10/3/14,1,Ebola,1,1,Ebola virus,8/25/14,8/25/14
Murilo12,22055388,0,1,2014,8/4/14,1165,10/12/17,8/4/14,1,Ebola,1,1,West African Ebola virus epidemic,8/4/14,8/4/14
Nauzemophonic,22709814,0,1,2014,10/1/14,1107,10/12/17,10/1/14,1,Ebola,1,1,Ebola virus,10/1/14,10/1/14
Nelson Joel,23088697,0,1,2014,11/6/14,1071,10/12/17,11/6/14,1,Ebola,1,1,Ebola virus cases in the United States,11/6/14,11/6/14
NetworkOP,23595433,725,1,2014,12/20/16,296,10/12/17,12/20/16,0,Ebola,5,3,Ebola virus disease,1/1/15,12/26/14
Nikzilla,22439607,0,1,2014,9/5/14,1133,10/12/17,9/5/14,1,Ebola,1,1,West African Ebola virus epidemic,9/5/14,9/5/14
Oakhilljoseph,23010121,1,1,2014,10/30/14,1078,10/12/17,10/30/14,1,Ebola,1,1,West African Ebola virus epidemic,10/29/14,10/29/14
Okymyo,22166916,505,1,2014,12/29/15,653,10/12/17,12/29/15,1,Ebola,3,3,Ebola virus,8/12/14,8/11/14
Omelly97,21969174,0,1,2014,7/31/14,1169,10/12/17,7/31/14,1,Ebola,1,1,West African Ebola virus epidemic,7/31/14,7/31/14
Omodeletobi,21915112,0,1,2014,7/25/14,1175,10/12/17,7/25/14,1,Ebola,1,1,Ebola virus disease,7/25/14,7/25/14
Ooopps,22117632,0,1,2014,8/8/14,1161,10/12/17,8/8/14,1,Ebola,1,1,West African Ebola virus epidemic,8/8/14,8/8/14
Pizzaguy232roundhouse,23272223,0,1,2014,11/23/14,1054,10/12/17,11/23/14,1,Ebola,1,1,Ebola virus disease,11/23/14,11/23/14
Pookiebabie,23331249,0,1,2014,11/29/14,1048,10/12/17,11/29/14,0,Ebola,2,2,West African Ebola virus epidemic,11/29/14,11/29/14
Princessbananahammock,22097365,0,1,2014,8/7/14,1162,10/12/17,8/7/14,1,Ebola,1,1,Ebola virus,8/7/14,8/7/14
Prisoner326,22716753,62,1,2014,12/2/14,1045,10/12/17,12/2/14,1,Ebola,1,1,West African Ebola virus epidemic,10/1/14,10/1/14
ProfessorLuka,24252134,4,1,2015,3/2/15,955,10/12/17,3/2/15,0,Ebola,2,2,Ebola virus cases in the United States,3/2/15,2/26/15
Proficuous,22988073,1,1,2014,10/28/14,1080,10/12/17,10/28/14,1,Ebola,1,1,West African Ebola virus epidemic,10/27/14,10/27/14
PuffinSoc,22572488,120,1,2014,1/15/15,1001,10/12/17,1/15/15,0,Ebola,4,3,West African Ebola virus epidemic,9/25/14,9/17/14
Puppy9000,22747637,958,1,2014,5/20/17,145,10/12/17,5/20/17,0,Ebola,2,2,List of Ebola outbreaks,10/6/14,10/5/14
Pwfen,23673468,931,1,2015,7/22/17,82,10/12/17,7/22/17,1,Ebola,1,1,West African Ebola virus epidemic timeline,1/3/15,1/3/15
RealPyro,21981816,0,1,2014,7/31/14,1169,10/12/17,7/31/14,1,Ebola,1,1,Ebola virus disease,7/31/14,7/31/14
RegistryKey,22632709,1105,0,2014,10/2/17,10,10/12/17,10/2/17,0,Ebola,2,2,West African Ebola virus epidemic,9/30/14,9/23/14
Rich4527,22741668,0,1,2014,10/4/14,1104,10/12/17,10/4/14,1,Ebola,1,1,West African Ebola virus epidemic,10/4/14,10/4/14
Ricola.joe,22981203,0,1,2014,10/27/14,1081,10/12/17,10/27/14,1,Ebola,1,1,Ebola virus cases in the United States,10/27/14,10/27/14
Rochoa2,22926347,0,1,2014,10/22/14,1086,10/12/17,10/22/14,1,Ebola,1,1,West African Ebola virus epidemic,10/22/14,10/22/14
Sam3026885,23721311,0,1,2015,1/8/15,1008,10/12/17,1/8/15,1,Ebola,1,1,Ebola virus,1/8/15,1/8/15
Sarahkooper,23520820,0,1,2014,12/18/14,1029,10/12/17,12/18/14,1,Ebola,1,1,West African Ebola virus epidemic,12/18/14,12/18/14
Saricmu,22035931,28,1,2014,8/31/14,1138,10/12/17,8/31/14,0,Ebola,2,2,Ebola virus,8/31/14,8/3/14
Satkara,23049166,1031,1,2014,8/29/17,44,10/12/17,8/29/17,1,Ebola,1,1,Ebola virus disease in Mali,11/3/14,11/2/14
Scoottz,22788329,19,1,2014,10/27/14,1081,10/12/17,10/27/14,1,Ebola,1,1,West African Ebola virus epidemic,10/22/14,10/8/14
Scorcher592,22209020,62,1,2014,10/16/14,1092,10/12/17,10/16/14,1,Ebola,1,1,West African Ebola virus epidemic,8/15/14,8/15/14
Scotch93,22249977,0,1,2014,8/18/14,1151,10/12/17,8/18/14,1,Ebola,1,1,West African Ebola virus epidemic,8/18/14,8/18/14
Sedlarczuk,23003822,1,1,2014,10/30/14,1078,10/12/17,10/30/14,1,Ebola,1,1,West African Ebola virus epidemic,10/29/14,10/29/14
Shadowvault,23005758,86,1,2014,1/23/15,993,10/12/17,1/23/15,1,Ebola,3,3,West African Ebola virus epidemic,11/10/14,10/29/14
Shastaman19,22953194,0,1,2014,10/24/14,1084,10/12/17,10/24/14,1,Ebola,1,1,West African Ebola virus epidemic,10/24/14,10/24/14
Shriram10,22233382,3,1,2014,8/20/14,1149,10/12/17,8/20/14,1,Ebola,1,1,West African Ebola virus epidemic,8/20/14,8/17/14
Sirgrossgergeofficial,22064290,202,1,2014,2/23/15,962,10/12/17,2/23/15,1,Ebola,1,1,Ebola virus,8/5/14,8/5/14
Sizzlingsteve669,22143495,0,1,2014,8/10/14,1159,10/12/17,8/10/14,1,Ebola,1,1,Ebola virus,8/10/14,8/10/14
Starstr,22661304,129,1,2014,2/2/15,983,10/12/17,2/2/15,1,Ebola,1,1,West African Ebola virus epidemic,9/26/14,9/26/14
Swukus,21746033,0,1,2014,7/2/14,1198,10/12/17,7/2/14,1,Ebola,1,1,West African Ebola virus epidemic,7/2/14,7/2/14
Tbnaff,22853047,0,1,2014,10/15/14,1093,10/12/17,10/15/14,1,Ebola,1,1,Ebola virus cases in the United States,10/15/14,10/15/14
Thankcleat,22223958,14,1,2014,8/30/14,1139,10/12/17,8/30/14,0,Ebola,2,2,West African Ebola virus epidemic,8/16/14,8/16/14
Theleo1234,23847471,0,1,2015,1/20/15,996,10/12/17,1/20/15,0,Ebola,2,2,Ebola virus,1/20/15,1/20/15
Tjl2051,21937009,845,1,2014,11/18/16,328,10/12/17,11/18/16,0,Ebola,2,2,West African Ebola virus epidemic,8/1/14,7/27/14
Toks3257,22354476,705,1,2014,8/2/16,436,10/12/17,8/2/16,0,Ebola,2,2,Ebola virus,8/28/14,8/28/14
Tritzim,23051773,748,1,2014,11/20/16,326,10/12/17,11/20/16,1,Ebola,1,1,Ebola virus epidemic in Liberia,11/3/14,11/3/14
Ulubeyli,22139134,161,1,2014,1/17/15,999,10/12/17,1/17/15,1,Ebola,1,1,Ebola virus,8/9/14,8/9/14
VeNeMousKAT,22008334,986,1,2014,4/14/17,181,10/12/17,4/14/17,0,Ebola,2,2,Ebola virus,8/24/14,8/2/14
W12345I,23151077,0,1,2014,11/12/14,1065,10/12/17,11/12/14,1,Ebola,1,1,West African Ebola virus epidemic timeline,11/12/14,11/12/14
Wa71la,22109672,0,1,2014,8/7/14,1162,10/12/17,8/7/14,1,Ebola,1,1,West African Ebola virus epidemic,8/7/14,8/7/14
