user,userid,event_newcomers,user_type,event,edit_count,ave_true,ave_false,predict_true_count,predict_false_count,final_check
Swukus,21746033,1,1,ebola,4,0.575357467,0.424617534,2,2,0
Ebola guy,21959760,1,1,ebola,2,0.577961069,0.421988933,1,1,0
JustSmart14,22203617,1,1,blm,1,0.161951249,0.837948761,0,1,0
Justice2001,25832095,1,1,blm,8,0.444631309,0.555356191,2,6,0
JusticeForFreddieGray,25086134,1,1,blm,3,0.464445534,0.535521134,1,2,0
Justincase1992,23365561,1,2,blm,66,0.510471785,0.4895267,27,39,0
KH-1,21857263,1,2,blm,7716,0.945919821,0.054080166,7716,0,0
Abiyarajan77,22773833,1,1,ebola,1,0.578859757,0.421040253,1,0,0
Kaizena,26481923,1,1,blm,13,0.708731932,0.291260376,10,3,0
ExoSuho,21844486,1,1,ebola,2,0.579755099,0.420194904,2,0,0
Wa71la,22109672,1,1,ebola,2,0.581638261,0.418311742,1,1,0
Kapibara100,24303793,1,3,ebola,24,0.701699097,0.298296736,16,8,0
Anthony112358,24732752,1,1,ebola,1,0.596138258,0.403761752,1,0,0
Kieran P. Clark,22986857,1,2,ebola,32,0.753362674,0.246634201,30,2,0
Kiwidwj,25596182,1,1,blm,3,0.830316644,0.169650024,3,0,0
Kiwifist,24791530,1,2,blm,225,0.750897518,0.249102038,206,19,0
Kowl00n,23237249,1,2,ebola,14,0.802949632,0.197043225,12,2,0
Mj3322,22828071,1,1,ebola,4,0.59701513,0.402959871,4,0,0
Krimsonquinn,26932106,1,1,blm,3,0.512584292,0.487382376,1,2,0
Iamchukzzy,22781464,1,1,ebola,1,0.603306351,0.396593659,1,0,0
Frostayy,22799226,1,1,ebola,1,0.616493946,0.383406064,1,0,0
BigFaCL,21314864,1,1,fifa,1,0.616867863,0.383032147,1,0,0
Kwoff,22283456,1,1,blm,2,0.479522938,0.520427065,0,2,0
Kykydani,25640137,1,1,blm,5,0.492961511,0.507018489,3,2,0
Kyle Lynch15,25074101,1,1,blm,2,0.320050037,0.679899965,0,2,0
LLBeanBrother,21634751,1,2,ebola,31,0.417764429,0.582232345,9,22,0
Landingdude13,20659301,1,2,fifa,5086,0.729337542,0.270662438,4384,702,0
Pwfen,23673468,1,1,ebola,3,0.619110798,0.38085587,2,1,0
Laurel Wreath of Victors,25771936,1,2,blm,238,0.650181368,0.349818212,169,69,0
Legochima,23626977,1,1,blm,1,0.516755045,0.483144965,1,0,0
Leo Bonilla,21626799,1,3,fifa,11,0.714032739,0.28595817,10,1,0
Lib arts premed96,24992570,0,3,blm,21,0.725277826,0.274717412,18,3,1
LiciaLace,22119550,1,1,blm,2,0.403170198,0.596779804,0,2,0
Lifebiomedguru,22147463,1,3,ebola,2,0.665330517,0.334619486,1,1,0
Lilhpster,23384693,1,1,blm,1,0.250923078,0.748976932,0,1,0
Kravinec,23170157,1,1,ebola,3,0.619913611,0.380053057,3,0,0
Liverpool8765,21800893,1,2,fifa,25,0.542498093,0.457497907,13,12,0
Lizard the Wizard,26692711,0,3,blm,1837,0.956178577,0.043821368,1837,0,1
Satkara,23049166,1,1,ebola,310,0.629095598,0.370904079,213,97,0
Lowkey40,24991961,1,1,blm,6,0.504920118,0.495063215,4,2,0
Lucazinzula,22121750,1,2,ebola,5,0.529238487,0.470741513,2,3,0
LuckyLeftyy,25763355,1,2,blm,18,0.49957251,0.500421934,9,9,0
Luyg97,21413246,1,2,fifa,29,0.652149329,0.347847223,17,12,0
Ija2002,22732690,1,1,ebola,2,0.629594126,0.370355877,2,0,0
MB298,24524350,0,2,blm,1157,0.963578249,0.036421664,1157,0,1
MPS1992,26860051,1,2,blm,1126,0.698532836,0.301467076,953,173,0
MaddiKadafy,21891220,1,3,blm,865,0.758458059,0.241541826,707,158,0
Madoti mojeed,21721474,1,3,fifa,2,0.682673249,0.317276754,1,1,0
Mahhon,25099877,1,2,ebola,119,0.665708467,0.334290692,90,29,0
ManiiMACK,23377834,1,1,blm,1,0.014690858,0.985209152,0,1,0
DuckMan23,22079756,1,1,ebola,4,0.632479196,0.367495804,2,2,0
Mariojack3,24656564,0,2,blm,58,0.74681831,0.253179965,53,5,1
Mariquilla1988,22491234,1,3,ebola,12,0.610670267,0.389321399,11,1,0
MarkBM,21794115,1,3,fifa,14,0.53948693,0.460505927,6,8,0
Masterfrac,26388641,1,2,blm,5,0.24198565,0.75799435,0,5,0
Oakhilljoseph,23010121,1,1,ebola,3,0.636054712,0.363911956,3,0,0
Matthew898,21814693,1,2,fifa,50,0.598840237,0.401157763,33,17,0
Mattoeftering,25896539,1,1,blm,2,0.366414957,0.633535046,0,2,0
08limi,23213101,1,1,ebola,1,0.63923823,0.36066178,1,0,0
Mejesik,23054210,1,2,ebola,4,0.322082482,0.677892519,1,3,0
Goalieboss,22827806,1,1,ebola,2,0.63939608,0.360553923,2,0,0
Michael hunter,22655301,1,2,ebola,18,0.555100422,0.444894023,11,7,0
Mico Antonio1234,24513045,0,2,blm,12,0.687754549,0.312237118,10,2,1
Hernanx32a,21651749,1,1,fifa,3,0.641412158,0.35855451,3,0,0
MissKatie89,21641081,1,3,ebola,7,0.755947773,0.244037941,6,1,0
Mixo45,21336330,1,2,fifa,30,0.767677801,0.232318866,26,4,0
Kakers100,22855597,1,1,ebola,1,0.643828557,0.356071453,1,0,0
Mjay54,23323345,1,1,blm,2,0.400994398,0.598955605,0,2,0
AngelisDragon,23051129,1,1,ebola,3,0.649763649,0.350203019,2,1,0
Mov283br3,26889133,1,1,blm,3,0.697146392,0.302820276,3,0,0
Mpena12,23388826,1,2,blm,6,0.85479256,0.145190774,6,0,0
Mexanoh,21772591,1,1,fifa,1,0.65110294,0.34879707,1,0,0
Mundogamesvicioam,21191932,1,1,fifa,1,0.651501832,0.348398178,1,0,0
MrMohammed305,21901010,1,3,fifa,18,0.755992036,0.244002408,15,3,0
Ftbl2014,21740386,1,1,fifa,20,0.652343845,0.347651156,14,6,0
Xqxf,22765172,1,1,ebola,460,0.653131133,0.346868649,355,105,0
Bhavinderrao9,21896149,1,1,ebola,1,0.655918557,0.343981453,1,0,0
Feelerino,21883597,1,1,fifa,1,0.659927296,0.339972714,1,0,0
Tritzim,23051773,1,1,ebola,3,0.660230296,0.339736372,3,0,0
Benjaminherberger,21635583,1,1,fifa,3,0.661828196,0.338138472,2,1,0
Sedlarczuk,23003822,1,1,ebola,3,0.672253434,0.327713234,3,0,0
MyEditIsValid,23379465,1,1,blm,2,0.448173139,0.551776863,0,2,0
Nammage,24947538,1,2,blm,50,0.705829919,0.294168081,48,2,0
Kachiokeke12,24242762,1,1,ebola,1,0.673806073,0.326093937,1,0,0
Necent,26783598,1,1,blm,1,0.110601513,0.889298497,0,1,0
NekoKatsun,23242057,1,3,blm,152,0.758134693,0.241864649,136,16,0
Yogo770,23068686,1,1,ebola,30,0.673859396,0.326137271,23,7,0
NetworkOP,23595433,1,3,ebola,126,0.83022769,0.169771517,120,6,0
NextGenSam619,21733618,1,2,fifa,139,0.934377853,0.065621428,139,0,0
Afk3004,23010510,1,1,ebola,1,0.676516711,0.323383299,1,0,0
Niw1984,23653569,1,1,blm,1,0.414635348,0.585264662,0,1,0
Nqemgray,21414483,1,2,fifa,14,0.702476824,0.297516034,13,1,0
O.Stolz,26750562,1,2,blm,14,0.890223334,0.109769523,14,0,0
Cttuckerrrr,21729600,1,1,fifa,2,0.683188962,0.316761041,2,0,0
Ogmios78,24962314,1,1,blm,2,0.517018646,0.482931357,1,1,0
Ogramzes,21774013,1,2,fifa,2,0.187798413,0.81215159,0,2,0
Oiyarbepsy,21840846,1,2,fifa,2568,0.97386288,0.026137081,2568,0,0
Okymyo,22166916,1,3,ebola,8,0.371878707,0.628108793,3,5,0
OliviaEMcCheyne,26710930,1,2,blm,4,0.812903353,0.187071648,4,0,0
Car200,21926087,1,1,ebola,2,0.688512405,0.311437598,2,0,0
Olympiads are best,21846768,1,2,fifa,6,0.327966211,0.672017123,1,5,0
42Q7,21979093,1,1,fifa,34,0.704677574,0.295319485,30,4,0
SamSkulls,21825329,1,1,fifa,22,0.709959553,0.290035901,19,3,0
Wikipedianeedseditting,22675187,1,1,ebola,3,0.71136343,0.288603238,3,0,0
Homo mundi,21846525,1,1,fifa,20,0.720175336,0.279819664,19,1,0
XcoIu,21617654,1,1,fifa,1,0.724626665,0.275273345,1,0,0
OrganicEarth,25844825,1,2,blm,4246,0.7386339,0.261366076,3631,615,0
Oskar Kopaczewski,21378766,1,2,fifa,50,0.66154471,0.33845329,36,14,0
Scotch93,22249977,1,1,ebola,1,0.726653546,0.273246464,1,0,0
Pencilthebee,26832848,1,2,blm,2,0.600078319,0.399871684,1,1,0
PewdsBro12,25838030,1,2,blm,56,0.559888904,0.440109311,35,21,0
Jlrubin,22545397,1,1,ebola,4,0.726857452,0.273117549,4,0,0
Proficuous,22988073,1,1,ebola,9,0.726913202,0.273075687,8,1,0
Poiuytrewqvtaatv123321,21847831,0,2,ebola,46,0.829822581,0.170175245,43,3,1
Politrukki,24723863,0,2,blm,5,0.699502623,0.300477378,4,1,1
Polugap,21704913,1,3,fifa,42,0.782670427,0.217327193,38,4,0
Pookiebabie,23331249,1,2,ebola,2,0.220459425,0.779490578,0,2,0
Barnaby.rostant,21714764,1,1,fifa,1,0.72881759,0.27108242,1,0,0
MrHassanSan,22935515,1,1,ebola,3,0.729546702,0.270419966,3,0,0
Pprika,21787522,1,1,fifa,1,0.738726474,0.261173536,1,0,0
Prinsgezinde,24340726,1,3,blm,1114,0.749028564,0.250971347,958,156,0
The Replicator,21637138,1,1,fifa,212,0.739376667,0.260622862,193,19,0
ProfessorLuka,24252134,1,2,ebola,10,0.584907949,0.415082051,8,2,0
Xboxy,21615116,1,1,fifa,2,0.741810579,0.258139424,2,0,0
Profoundblkwmn,24797594,1,1,blm,1,0.268597942,0.731302068,0,1,0
PuffinSoc,22572488,1,3,ebola,901,0.856165002,0.143834887,861,40,0
Puppy9000,22747637,1,2,ebola,87,0.739245656,0.260753195,74,13,0
Shakiriwein,21624935,1,1,fifa,1,0.744786707,0.255113303,1,0,0
QuartzReload,21639897,1,2,fifa,249,0.930536617,0.069462981,249,0,0
Qzd,26906394,1,2,blm,4927,0.949554531,0.050445448,4927,0,0
Rachelwalexander,21664415,1,3,ebola,22,0.666428759,0.333566696,18,4,0
Wwhitbyiv,25245419,1,1,ebola,17,0.749002353,0.250991765,17,0,0
Randomlettersinaspace,25800230,1,1,blm,1,0.129007439,0.870892571,0,1,0
Seardluin,21742088,1,1,fifa,1,0.752861783,0.247038227,1,0,0
RatRat,24512952,1,2,blm,289,0.75973214,0.240267514,242,47,0
Ratatosca,21381695,0,2,blm,28,0.678376621,0.321619808,24,4,1
RazorThunder,21902977,1,2,fifa,24,0.668985849,0.331009984,17,7,0
Inemudom,21965466,1,1,ebola,1,0.763841097,0.236058913,1,0,0
Realtruth4all,26835139,1,1,blm,4,0.209979051,0.789995949,0,4,0
RegistryKey,22632709,1,2,ebola,189,0.963633882,0.036365589,189,0,0
Frozenfire14,21678082,1,1,fifa,15,0.764310783,0.23568255,14,1,0
Poseidon Nep,21727454,1,1,fifa,219,0.768468683,0.23153086,191,28,0
Rick13ellms,21816963,1,2,fifa,15,0.332344407,0.667648926,2,13,0
CynthiaAch,21599510,1,1,fifa,1,0.774308496,0.225591514,1,0,0
Rjlnjd,24380114,1,1,blm,1,0.259463808,0.740436202,0,1,0
Rjryan94,21897518,1,1,blm,1,0.46093618,0.53896383,0,1,0
Rlincoln1986,23370248,1,1,blm,2,0.292333173,0.707616829,0,2,0
Russsdean,21799547,1,1,fifa,1,0.774364353,0.225535657,1,0,0
Rondo33,25866009,1,3,blm,1,0.152402189,0.847497821,0,1,0
Ronit.Dey.357,21710434,0,2,ebola,2,0.348160302,0.651789701,0,2,1
Rpdodds,21609041,1,2,fifa,5,0.639669402,0.360310599,4,1,0
Rusavuk,24848124,1,2,blm,25,0.793164223,0.206831777,24,1,0
Josephdavoudzadeh,21633531,1,1,fifa,1,0.775625788,0.224274222,1,0,0
S3oody8,26802104,1,1,blm,2,0.342810727,0.657139275,0,2,0
SLCLibraryGirl,21854618,0,1,blm,14,0.825410222,0.174582635,13,1,1
Saeranv,22278526,1,3,blm,3,0.611716222,0.388250446,1,2,0
Sage1982,25517950,1,2,blm,11,0.841827494,0.158163415,11,0,0
Phoenix9630,21788124,1,1,fifa,13,0.775859114,0.224133193,12,1,0
Jmvilla1509,21723444,1,1,fifa,1,0.777226182,0.222673828,1,0,0
SamanthaAnnesley,25098281,1,1,blm,1,0.497493264,0.502406746,0,1,0
SamuelOdinga,22376301,1,2,ebola,79,0.503742265,0.496256469,36,43,0
Samuelrowland,21526810,1,3,fifa,51,0.607602272,0.392395768,35,16,0
Wikimaster2525,22708031,1,1,ebola,2,0.787592246,0.212357757,2,0,0
Matosizi,21622900,1,1,fifa,1,0.788071402,0.211828608,1,0,0
Sarahlively,26639426,0,2,blm,18,0.72931849,0.270675954,16,2,1
Saricmu,22035931,1,2,ebola,4,0.368974015,0.631000986,0,4,0
Enhickman,22523564,1,1,ebola,4,0.79540133,0.204573671,4,0,0
Sayfutri,21566507,1,2,fifa,56,0.726680094,0.27331812,53,3,0
Starstr,22661304,1,1,ebola,722,0.795570602,0.204429259,692,30,0
XavierItzm,22888068,1,1,ebola,119,0.800640986,0.199358174,114,5,0
Wyqy,22685997,1,1,ebola,1,0.808768107,0.191131903,1,0,0
Hrrael,22986945,1,1,ebola,1,0.809066739,0.190833271,1,0,0
A5176868,21647163,1,1,fifa,2,0.821771691,0.178178312,2,0,0
Sethyre,26338745,1,3,blm,3,0.666133348,0.33383332,3,0,0
Sgt1988,24330416,1,1,blm,1,0.317704787,0.682195223,0,1,0
ShadowHawk555,23071829,1,2,blm,34,0.792647752,0.207349307,33,1,0
Shadowvault,23005758,1,3,ebola,1,0.332765608,0.667134402,0,1,0
Shakiratrackleb,21606065,1,2,fifa,12,0.427692118,0.572299549,5,7,0
Football14fever,21606249,1,1,fifa,11,0.824193763,0.175797146,10,1,0
BrianGroen,22058183,1,1,ebola,1374,0.832137397,0.16786253,1357,17,0
P4TG30RG13V,21625824,1,1,fifa,7,0.83940125,0.160584464,7,0,0
Siguy85,21954978,1,1,blm,4,0.164089028,0.835885972,0,4,0
Silvrcraze,24297747,1,2,blm,4,0.230111222,0.769863779,0,4,0
Adrian-re14,21646720,1,1,fifa,1,0.839732482,0.160167528,1,0,0
OliwierEOB,21660035,1,1,fifa,1,0.840686411,0.159213599,1,0,0
Skubydoo,26373160,1,3,blm,100,0.808312127,0.191686873,92,8,0
Snd0,21602800,1,2,ebola,26,0.715131026,0.284865128,21,5,0
Excetor,22525551,1,1,ebola,2,0.840753609,0.159196394,2,0,0
Some of everything,25593358,1,2,blm,217,0.817438017,0.182561522,198,19,0
Somuchstuffismeta,24975166,1,1,blm,9,0.478151179,0.52183771,3,6,0
Ishac.ishac,21605711,1,1,fifa,4,0.844562232,0.155412769,4,0,0
Abpokhrel,21558487,1,1,fifa,7,0.848315276,0.151670438,7,0,0
Stamboliyski,22271376,1,2,blm,546,0.852176957,0.14782286,526,20,0
Mohammad961,21605647,1,1,fifa,9,0.853581957,0.146406932,9,0,0
StealthyJoker85,23377551,1,2,blm,70,0.598366538,0.401632034,48,22,0
StjJackson,25806245,1,1,blm,424,0.799738264,0.200261501,395,29,0
Superjonboy01,21561671,1,2,fifa,3,0.899973422,0.099993246,3,0,0
Swaggyswig,22957991,1,2,ebola,2,0.445637453,0.554312549,1,1,0
Sweglife,25536757,1,1,blm,2,0.607355953,0.392594049,1,1,0
Ashish kumar sharma99,21786302,1,1,fifa,1,0.856548602,0.143351408,1,0,0
Taiesecs,26764017,0,3,blm,2,0.881556985,0.118393018,2,0,1
Scoottz,22788329,1,1,ebola,2,0.86018221,0.139767792,2,0,0
Teryuslimmy45,26890387,1,1,blm,3,0.702519059,0.297447608,2,1,0
Thankcleat,22223958,1,2,ebola,80,0.679242552,0.320756198,65,15,0
JupiterSaturnw,21580502,1,1,fifa,1,0.860600156,0.139299854,1,0,0
TheAGamer,21600093,1,3,fifa,15,0.816931712,0.183061622,13,2,0
TheBlinkster,24312438,0,2,blm,1695,0.811115789,0.188884152,1627,68,1
TheGracefulSlick,23588386,0,2,blm,3415,0.952462058,0.047537912,3415,0,1
Sos edelbi23,21606501,1,1,fifa,1,0.863892242,0.136007768,1,0,0
Theleo1234,23847471,1,2,ebola,2,0.237777897,0.762172106,0,2,0
ThurstonHowell3rd,24435954,1,2,blm,21,0.646591756,0.353403482,14,7,0
Tiger7890,24844794,1,3,blm,664,0.825463568,0.174536282,642,22,0
Tiggahuhot,23379425,1,1,blm,1,0.218043749,0.781856261,0,1,0
TimeFox,22977958,0,2,blm,4,0.496389223,0.503585777,2,2,1
Tjl2051,21937009,1,2,ebola,356,0.73000242,0.269997299,291,65,0
Tlpinto1,21875037,1,1,blm,10,0.57960286,0.42038714,7,3,0
Sarahkooper,23520820,1,1,ebola,2,0.873988689,0.125961313,2,0,0
Toks3257,22354476,1,2,ebola,42,0.657816491,0.342181128,32,10,0
Trees are more important than people,25088381,1,3,blm,1,0.397146467,0.602753543,0,1,0
Mulderttt,21637755,1,1,fifa,1,0.875027999,0.124872011,1,0,0
Ttextt,24719872,1,1,blm,5,0.881801995,0.118178005,5,0,0
Tuanminh01,21609933,1,3,fifa,40,0.728780369,0.271217131,33,7,0
TwinTowers911,25800157,1,1,blm,1,0.047838921,0.952061089,0,1,0
Karamonas,21613377,1,1,fifa,1,0.875231526,0.124668484,1,0,0
UnionJaren,24680355,1,2,blm,37,0.514259534,0.485737763,18,19,0
Username041313,24975002,1,1,blm,1,0.23217893,0.76772108,0,1,0
Vanished user 9j34rnfjemnrjnasj4,21556758,1,2,fifa,1185,0.835449736,0.16455018,1142,43,0
Arsalan a.gh,21550334,1,1,fifa,6,0.879545197,0.120438137,6,0,0
VeNeMousKAT,22008334,1,2,ebola,234,0.731518725,0.268480847,210,24,0
Velojareal,26742571,1,2,blm,21,0.652055111,0.347940127,17,4,0
Mikestrike,21605546,1,1,fifa,2,0.881301041,0.118648962,2,0,0
Veracity134,23636100,1,1,blm,1,0.065860806,0.934039204,0,1,0
HamedV00,21339499,1,1,fifa,5,0.889535056,0.110444944,5,0,0
RapdosS,21607695,1,1,fifa,2,0.892516532,0.107433471,2,0,0
Xstokenmen,21602446,1,1,fifa,1,0.898736224,0.101163786,1,0,0
WMKT fr,22920072,0,2,ebola,7,0.786624743,0.213360971,7,0,1
Ek93,21605873,1,1,fifa,2,0.904035608,0.095914395,2,0,0
Walfin,23402834,1,1,blm,1,0.37839153,0.62150848,0,1,0
Walifa Waqar,23483832,1,2,ebola,14,0.482553435,0.517439422,4,10,0
Walsh8157,24505878,1,1,blm,1,0.127420167,0.872479843,0,1,0
We43ff21,26764488,1,3,blm,31,0.597535846,0.402460928,19,12,0
WebSurfer01,23379546,1,1,blm,1,0.431249178,0.568650832,0,1,0
White Arabian Filly,26780745,1,3,blm,2853,0.952785101,0.047214864,2853,0,0
WickedTurth,23571975,1,1,blm,7,0.523599285,0.47638643,5,2,0
Adrien Glauser,21692166,1,1,fifa,3,0.905959919,0.094006749,3,0,0
Dr.Oberd,23509049,1,1,ebola,4,0.91052523,0.089449771,4,0,0
Hmoshrif,21581893,1,1,fifa,1,0.917360343,0.082539667,1,0,0
Wikipedianorthernireland,22857347,1,2,ebola,12,0.473128107,0.52686356,6,6,0
Wikipuser777,22078499,1,2,blm,45,0.788083188,0.21191459,41,4,0
Wikitesh Thapa,21711139,1,2,ebola,5,0.381450732,0.618529269,2,3,0
Wikiwang8,23577638,1,2,ebola,6,0.47964037,0.520342964,2,4,0
WillSchenk,23334859,1,2,blm,2,0.237888027,0.762061975,0,2,0
WilleHelm,22634215,1,2,ebola,3,0.594508667,0.405458001,2,1,0
WolverhmptonLad01,25232934,1,2,ebola,38,0.869665934,0.130331435,37,1,0
Wrsa,21960546,1,3,ebola,110,0.829201815,0.170797275,102,8,0
Wulframm Rolf,25599093,1,1,blm,4,0.310697814,0.689277187,2,2,0
Tobyasds,21823208,1,1,fifa,1,0.923225164,0.076674846,1,0,0
Wybulldog,22287595,1,1,blm,3,0.294482813,0.705483855,0,3,0
Vaselineeeeeeee,21345908,1,1,fifa,33,0.935235375,0.064761595,33,0,0
Ooebbbbyyy,21606496,1,1,fifa,1,0.937889868,0.062010142,1,0,0
Ashu-97,21624226,1,1,fifa,4,0.944688056,0.055286945,4,0,0
Extraperson,21601323,1,1,fifa,3,0.945105392,0.054861276,3,0,0
Calthaus,22394843,1,1,ebola,3,0.960205025,0.039761643,3,0,0
Reyalfre,20668798,1,1,fifa,1,0.971670483,0.028229527,1,0,0
XxMorningXxXStarxX,24410372,1,1,blm,1,0.489345628,0.510554382,0,1,0
Vkhoury,21836170,1,1,fifa,1,0.976272447,0.023627563,1,0,0
Yankeekid13,23376982,1,1,blm,1,0.385226377,0.614673633,0,1,0
Yellow Dingo,23215288,1,3,ebola,122,0.961792629,0.038206551,122,0,0
MusaSaleemPK,21607835,1,1,fifa,1,0.978084868,0.021815142,1,0,0
Rajeshavaghela,21603545,1,1,fifa,1,0.98599516,0.01390485,1,0,0
Youareagrt,24523851,1,2,blm,3,0.428131995,0.571834672,1,2,0
Yunghomiek,25561760,1,1,blm,2,0.355526593,0.644423409,0,2,0
ZeFreightTrain,25764360,1,2,blm,3,0.373348786,0.626617882,0,3,0
Zexcoiler Kingbolt,26896767,1,1,blm,3,0.609389569,0.390577099,2,1,0