wpid,userid,register,event_newcomers,is_in_event,time,death,user_type,before_time_span,before_ave_sizediff,before_article_sizediff,before_unique_articles,before_article_count,before_edit_count,before_talk_count,before_user_count,before_usertalk_count,after_time_span,after_ave_sizediff,after_article_sizediff,after_unique_articles,after_article_count,after_edit_count,after_talk_count,after_user_count,after_usertalk_count,event,first_edit_type3
1989,23334321,11/29/14,0,1,1055,0,0,17,1.846149112,1.999988889,16,18,39,0,7,0,1012,635.1515735,237.1955515,2501,3692,24364,5197,463,13664,BLM,3
99.99percent,25532589,6/18/15,1,1,0,1,1,0,-390.9200698,-251.9068008,1,11,13,0,0,2,0,0,0,0,0,0,0,0,0,BLM,1
ADDCharlie,25893465,7/30/15,1,1,0,1,1,0,588.9411059,588.9411059,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Adam9007,24796666,4/16/15,0,1,917,0,0,29,489.620059,35.03121351,77,96,187,7,4,46,886,503.2264147,267.3984755,8361,16154,35077,920,2417,12789,BLM,2
Admiller6,23379611,12/4/14,1,1,0,1,1,0,-20.99790021,-20.99790021,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Afropwnswest,24827597,4/18/15,1,1,309,1,1,0,30.44410618,30.44410618,2,9,9,0,0,0,7,-34.99825009,-34.99825009,1,2,2,0,0,0,BLM,1
Akkckkc,25865582,7/27/15,1,1,0,1,1,0,63.49682516,63.49682516,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
AlaskanNativeRU,24682483,4/8/15,0,1,922,0,0,30,86.65935749,1.872879769,57,118,138,11,2,5,891,19.43073453,28.62083812,520,1142,1386,102,5,84,BLM,2
Allegations,25905471,8/1/15,1,1,1,1,1,1,99.599336,18.44423951,1,9,15,2,0,4,0,0,0,0,0,0,0,0,0,BLM,3
Allthefoxes,26932540,11/30/15,0,1,678,0,0,30,692.2977922,286.5636417,1373,1453,3519,12,224,1764,647,572.5431834,385.8848562,1703,2076,5429,563,306,2212,BLM,3
Amax1701,25757421,7/13/15,0,1,141,1,0,28,20.38445858,20.38445858,8,13,13,0,0,0,102,43.71982512,43.71982512,11,25,25,0,0,0,BLM,2
Amortias,21319995,5/3/14,0,1,1262,0,0,30,309.1426452,94.16752815,302,376,820,27,22,205,1231,689.9937485,737.8441344,7101,8912,25285,399,2196,10719,BLM,3
Anouyous151,25857880,7/26/15,1,1,4,1,1,3,0.333322223,0.333322223,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Aryehh89,22181073,8/12/14,0,1,1099,1,0,9,196.1372547,196.1372547,9,29,29,0,0,0,246,246.5786229,233.1686857,14,71,76,0,0,0,BLM,2
Asere3000,26389553,9/29/15,1,1,0,1,1,0,94.99050095,94.99050095,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
AusLondonder,24801517,4/17/15,0,1,916,0,0,30,512.1538724,382.8059333,300,634,981,31,1,141,885,213.3650038,125.6375574,8904,14154,21923,2360,107,1718,BLM,2
AutonomousOrangePages,23378365,12/3/14,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
BadDJ,25823689,7/22/15,0,1,5,1,0,5,48.6246961,48.6246961,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2
Baking Soda,26883893,11/24/15,1,1,243,1,1,30,79.39985564,82.46921945,11,49,55,3,0,0,211,178.2355414,97.64134779,1574,4029,5638,544,43,316,BLM,1
Bander.Quraishi,22332479,8/26/14,1,1,15,1,1,0,4.99950005,4.99950005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
BatHunter,22065417,8/5/14,1,1,140,1,1,1,264.1390837,253.9957667,1,6,7,1,0,0,75,-39.39921202,-39.39921202,2,5,5,0,0,0,BLM,1
Belltoes,26478780,10/9/15,0,1,660,1,0,16,1.003002702,-31.74263539,28,272,333,4,57,0,629,65.17276634,65.67373134,54,754,764,5,1,3,BLM,3
Big12isu,23369095,12/3/14,1,1,0,1,1,0,90.99090091,90.99090091,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Bluemousered,23334109,11/29/14,1,1,967,1,1,0,12.99870013,12.99870013,1,1,1,0,0,0,844,317.2186976,3.499956251,3,8,9,1,0,0,BLM,1
Blzjms,23377306,12/3/14,1,1,0,1,1,0,-81.99180082,-81.99180082,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Bohemian Baltimore,22066013,8/5/14,0,1,1165,0,0,20,67.17290267,100.3958774,65,245,480,10,1,1,1099,48.45691476,38.7265165,12968,17917,33341,1215,19,16,BLM,2
BoomChakaLakaBoom,23566036,12/23/14,1,1,0,1,1,0,11.99880012,11.99880012,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
BoricuaBonita,25871548,7/28/15,1,1,0,1,1,0,-43.99560044,-43.99560044,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
BunnyTaker55,22945140,10/23/14,0,1,0,1,0,0,-23.99880006,-23.99880006,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2
CAPTAIN RAJU,25523690,6/17/15,0,1,855,0,0,30,1757.347359,1707.497659,249,500,748,0,3,242,824,744.7847999,529.0111601,42563,58597,148425,1874,4649,49721,BLM,2
CLCStudent,26398660,9/30/15,0,1,748,0,0,30,1179.948783,1903.852389,493,611,1330,10,0,642,715,903.694817,1192.616248,11289,16167,34052,182,83,15879,BLM,2
CalLightman1990,26729435,11/7/15,0,1,46,1,0,1,204.1959161,169.7457564,1,4,5,1,0,0,0,-0.99990001,-0.99990001,1,1,1,0,0,0,BLM,2
Cathar66,23395611,12/5/14,0,1,969,1,0,29,162.356563,-44.13616302,12,22,28,0,2,4,938,152.0706538,262.8520391,166,453,665,47,46,83,BLM,3
Cbursaw,23398438,12/5/14,0,1,929,1,0,28,35.98239301,35.98239301,13,57,57,0,0,0,834,38.95214938,41.93660103,161,978,1045,0,0,1,BLM,2
Cewlt,24382660,3/10/15,0,1,708,1,0,15,82.11019878,82.11019878,4,9,9,0,0,0,649,-42.03294394,-65.9197124,115,162,182,1,9,6,BLM,2
Cfavsmba,23580749,12/24/14,0,1,0,1,0,0,16.99943335,16.99943335,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2
ChamithN,21929136,7/26/14,0,1,1181,0,0,30,157.5127397,72.66418054,89,137,195,10,20,20,1150,303.2767349,66.11355346,3317,12690,20272,1232,334,5067,BLM,2
Chiffchaff2015,25571777,6/22/15,1,1,0,1,1,0,1.999971429,1.999971429,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
CitiV,22123746,8/8/14,0,1,288,1,0,30,31.56344377,26.92427495,147,383,394,9,0,0,257,37.72201266,-21.49982083,7,12,18,0,0,0,BLM,3
CookieMonster755,22164567,8/11/14,0,1,1165,0,0,0,0,0,0,0,0,0,0,0,1119,347.8258279,164.5184105,1188,2552,6511,1306,588,1249,BLM,3
Coreysutphin,26538214,10/16/15,1,1,0,1,1,0,-2483.751625,-2483.751625,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Cowpie12345678901,25800235,7/18/15,1,1,0,1,1,0,19.99900005,19.99900005,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Cranberry Products,21375375,5/11/14,0,1,1257,0,0,27,362.278879,126.3991573,8,15,68,0,33,20,1225,1009.124479,1167.861152,437,541,674,7,11,83,BLM,3
Crystallizedcarbon,22150306,8/10/14,0,1,1166,0,0,30,311.7996718,82.08310532,20,36,95,24,9,11,1135,712.6595363,572.9272544,10548,14036,27545,380,229,11823,BLM,3
CyanoTex,24347243,3/7/15,0,1,942,0,0,15,240.1126014,-67.99954667,13,15,133,5,56,53,911,700.7546416,655.8496111,1447,1583,3432,8,135,1605,BLM,3
CyberWarfare,25812203,7/20/15,0,1,90,1,0,30,634.7308058,782.6977617,121,169,368,28,47,116,59,-20.35385842,769.1046154,400,525,1088,17,24,483,BLM,2
DERPALERT,24532235,3/24/15,0,1,937,0,0,30,90.11459228,98.18858661,39,106,157,12,22,11,906,104.1449315,115.5127404,314,784,1028,35,77,0,BLM,3
Daddy2d,23617662,12/29/14,1,1,0,1,1,0,56.99430057,56.99430057,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Damvile,23253239,11/21/14,0,1,22,1,0,22,283.9059311,255.1012238,127,306,383,24,27,11,0,0,0,0,0,0,0,0,0,BLM,2
DangerousJXD,22220474,8/16/14,0,1,1160,0,0,17,116.7886067,3.504198736,69,119,317,3,35,65,984,0.67683957,-13.60296658,13084,35259,39058,776,1646,755,BLM,2
Danjuma10,22308202,8/24/14,0,1,1,1,0,1,293.9958001,293.9958001,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2
Darcty rice,26896170,11/26/15,1,1,0,1,1,0,18.99810019,18.99810019,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
DatGuy,26830382,11/18/15,0,1,701,0,0,30,430.303421,576.3080043,377,555,1829,85,209,773,670,249.1113957,306.4652266,9765,11317,20997,452,1088,6055,BLM,2
Dbonte35,22195037,8/13/14,1,1,0,1,1,0,265.9734027,265.9734027,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
DeLittle,24721351,4/11/15,0,1,21,1,0,21,107.6918935,107.6918935,14,26,26,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2
Deeeogo,25780540,7/16/15,0,1,701,1,0,30,85.69184386,86.01955264,128,511,516,2,0,0,670,244.8444248,242.7412723,974,4414,4641,8,0,1,BLM,2
Deeznutzhagotem,25077931,5/5/15,1,1,140,1,1,10,-116.797664,-116.797664,2,5,5,0,0,0,0,-0.499975001,-0.499975001,1,2,2,0,0,0,BLM,1
Dengg2,24345691,3/7/15,1,1,0,1,1,0,26.99730027,26.99730027,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Denniscabrams,24382878,3/10/15,0,1,954,0,0,24,147.7210118,127.1510149,46,86,104,2,14,0,923,125.6071156,124.0579094,2949,5612,5704,28,27,9,BLM,2
Desertguardsman,23595994,12/26/14,1,1,303,1,1,0,272.9727027,272.9727027,1,1,1,0,0,0,0,-6.666444452,-6.666444452,1,3,3,0,0,0,BLM,1
Dianaoh339,23387877,12/4/14,0,1,14,1,0,9,196.0377075,233.3110418,9,16,26,0,9,1,0,0,0,0,0,0,0,0,0,BLM,2
DiscantX,23278095,11/24/14,0,1,1012,1,0,29,222.1912812,142.6733723,97,147,209,16,14,15,981,749.0304396,614.9113815,1649,2156,4334,85,139,1497,BLM,2
Dontmakemetypepasswordagain,26733996,11/7/15,0,1,213,1,0,27,40.14979925,-62.88198305,3,17,20,0,1,2,149,711.2644444,832.4857467,6,76,272,72,0,36,BLM,3
Douglas.j.chapman,22301296,8/23/14,1,1,0,1,1,0,284.9715028,284.9715028,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
E10QZ,22198436,8/14/14,1,1,197,1,1,11,34.49827509,34.49827509,2,2,2,0,0,0,85,53.99820006,53.99820006,2,3,3,0,0,0,BLM,1
"Eat me, I'm an azuki",25540432,6/19/15,0,1,850,0,0,29,543.3134527,68.70723328,61,82,271,2,48,52,819,748.3880717,264.0372653,670,858,2471,49,485,673,BLM,2
Emmyfan,23008268,10/29/14,0,1,30,1,0,30,638.6835082,638.6835082,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2
Engl1105,24848423,4/20/15,0,1,17,1,0,17,198.7487578,220.6642148,5,9,16,0,5,1,0,0,0,0,0,0,0,0,0,BLM,2
Equinox,24880950,4/21/15,0,1,910,0,0,29,2.747823698,-27.49035818,86,104,115,7,2,1,879,2.194474806,-10.59307665,5566,6731,7312,437,27,36,BLM,2
EternalNomad,24473955,3/19/15,0,1,943,0,0,19,41.04329981,35.42840272,13,21,23,1,1,0,911,179.0597265,82.70838672,520,1406,1674,42,9,9,BLM,3
Ethanhuron,24668182,4/6/15,1,1,0,1,1,0,8.99910009,8.99910009,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Everrreton,23275635,11/24/14,1,1,370,1,1,0,235.9882006,235.9882006,1,2,2,0,0,0,244,178.8284011,144.9830917,22,60,105,1,43,1,BLM,1
F8Rx,23388662,12/4/14,1,1,0,1,1,0,2.99970003,2.99970003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
FACTSvsOPINION,25829255,7/22/15,1,1,0,1,1,0,993.9006099,993.9006099,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Fatnard,24976792,4/28/15,1,1,2,1,1,2,976.9674344,907.9546023,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,BLM,1
Forbidden User,21314070,5/2/14,0,1,946,1,0,30,165.6666264,27.02968959,37,202,411,127,7,41,915,236.4092717,-13.39192081,82,421,1378,411,19,190,BLM,2
GaiaHugger,21396837,5/14/14,0,1,361,1,0,10,28.39943201,-344.9827509,1,2,5,2,1,0,269,308.7360296,69.2847245,4,7,38,9,0,5,BLM,3
Gamerboi1,25578442,6/23/15,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Gf95750,22915410,10/21/14,0,1,633,1,0,13,120.798792,120.798792,3,10,10,0,0,0,599,114.4825612,114.4825612,37,58,58,0,0,0,BLM,2
Gg3iii,25552606,6/20/15,1,1,0,1,1,0,-7.99920008,-7.99920008,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Gladiator Decimus Meridius,23664853,1/3/15,0,1,705,1,0,5,-65.99780007,-65.99780007,1,3,3,0,0,0,661,56.09357471,47.64268699,18,28,32,3,1,0,BLM,2
GoLeor,24907752,4/23/15,0,1,347,1,0,12,255.7468032,255.7468032,2,8,8,0,0,0,231,29.88872284,29.88872284,5,18,18,0,0,0,BLM,2
Grammarian3.14159265359,24373534,3/9/15,0,1,954,0,0,16,1.999950001,1.999950001,2,4,4,0,0,0,900,44.00047342,42.14087005,728,2087,2103,14,1,0,BLM,2
GrecianEarn,26353285,9/25/15,0,1,88,1,0,30,379.1903257,402.1390708,88,237,252,7,5,0,57,185.0328462,187.5139069,152,502,517,9,0,1,BLM,3
GrimaceMcDonald,25528513,6/18/15,1,1,0,1,1,0,1.99980002,1.99980002,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Halahala9X9,24979737,4/28/15,1,1,0,1,1,0,1026.149564,1026.149564,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Hawkmoonb,22162361,8/11/14,1,1,0,1,1,0,2.99970003,2.99970003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Hehoo99,23377850,12/3/14,0,1,0,1,0,0,-42150.69623,-42150.69623,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2
Hermionedidallthework,25776260,7/15/15,0,1,814,0,0,29,213.714992,278.4070637,42,81,172,1,67,4,782,497.1347773,411.3544057,982,2181,3613,52,162,1032,BLM,2
Iazyges,23299921,11/26/14,0,1,1057,0,0,19,482.895171,463.1907362,2,5,10,0,3,2,1009,184.9368435,116.7666306,2219,5862,17354,3469,2701,1122,BLM,3
Icarosaurvus,22245365,8/18/14,0,1,1137,0,0,28,248.8473821,10.84607041,10,13,105,73,1,10,1027,148.9182154,-8.54537686,11,11,98,21,0,0,BLM,2
Impendingtruth,26797572,11/14/15,1,1,1,1,1,1,90.66515558,90.66515558,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
JJMC89,24812038,4/18/15,0,1,915,0,0,30,414.4721616,-219.7450262,274,306,684,1,55,315,882,181.2911541,-255.1302555,29920,38217,72872,3868,2926,13600,BLM,2
JT2958,22138907,8/9/14,0,1,1130,1,0,20,357.7928441,0,0,0,5,5,0,0,1088,312.9480061,255.5489358,32,71,116,35,3,7,BLM,3
Jamesdean32,23581710,12/25/14,1,1,0,1,1,0,-3.99960004,-3.99960004,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Jc21539,22936038,10/22/14,1,1,0,1,1,0,1277.872213,1277.872213,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Jdavi333,23304355,11/26/14,0,1,1058,0,0,15,-3.499825009,-3.499825009,2,2,2,0,0,0,1024,-34.84697902,-58.56693361,1054,5722,7267,173,10,98,BLM,2
Jimbob761,26440004,10/5/15,0,1,8,1,0,8,-1324.622513,-1324.622513,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2
Jlightsky,24352640,3/7/15,1,1,459,1,1,9,138.1241367,348.3217226,2,3,16,0,8,0,427,36.66625926,21.33297778,6,6,9,0,1,0,BLM,3
Josephp18810,25627763,6/28/15,0,1,7,1,0,7,-28.66571114,-28.66571114,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2
Joshephpeterson,26331924,9/23/15,1,1,0,1,1,0,35.99640036,35.99640036,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Jrdrew102,25612250,6/26/15,1,1,0,1,1,0,-5070.492951,-5070.492951,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
JustSmart14,22203617,8/14/14,1,1,0,1,1,0,49.9950005,49.9950005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Justice2001,25832095,7/23/15,1,1,0,1,1,0,137.998275,137.998275,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
JusticeForFreddieGray,25086134,5/6/15,1,1,0,1,1,0,119.9970001,104.3298557,1,3,4,0,0,1,0,0,0,0,0,0,0,0,0,BLM,1
Justincase1992,23365561,12/2/14,0,1,13,1,0,13,-2278.981943,-2403.20848,7,66,68,1,0,1,0,0,0,0,0,0,0,0,0,BLM,2
KH-1,21857263,7/18/14,0,1,1189,0,0,30,201.8523115,96.98434469,213,320,359,1,2,19,1158,281.6868881,69.8808767,17592,24630,29769,103,85,3301,BLM,2
Kaizena,26481923,10/10/15,1,1,135,1,1,0,4.749940626,4.749940626,7,8,8,0,0,0,61,125.5379787,128.1594874,11,25,26,0,1,0,BLM,1
Kiwidwj,25596182,6/25/15,1,1,331,1,1,0,269.3243559,269.3243559,1,3,3,0,0,0,0,-2.499875006,-2.499875006,1,2,2,0,0,0,BLM,1
Kiwifist,24791530,4/16/15,0,1,908,0,0,30,3.281239746,3.281239746,20,32,32,0,0,0,875,119.7877498,96.9927884,762,1388,1503,61,4,38,BLM,2
Krimsonquinn,26932106,11/30/15,1,1,3,1,1,3,120.4281413,623.6458785,3,3,28,0,18,0,0,0,0,0,0,0,0,0,0,BLM,1
Kwoff,22283456,8/21/14,1,1,0,1,1,0,-0.499975001,-0.499975001,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Kykydani,25640137,6/29/15,1,1,26,1,1,26,30.99938001,30.99938001,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Kyle Lynch15,25074101,5/5/15,1,1,0,1,1,0,1698.415079,1698.415079,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Laurel Wreath of Victors,25771936,7/15/15,0,1,826,0,0,30,368.069274,385.8867876,79,177,216,3,14,14,795,82.64798019,51.62344116,409,725,821,24,19,22,BLM,2
Legochima,23626977,12/29/14,1,1,0,1,1,0,-0.99990001,-0.99990001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Lib arts premed96,24992570,4/29/15,0,1,334,1,0,1,423.6284292,-31.0998445,18,20,97,0,30,47,279,332.2120591,99.51689822,26,29,47,1,0,15,BLM,3
LiciaLace,22119550,8/8/14,1,1,0,1,1,0,-6.999650017,-6.999650017,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Lilhpster,23384693,12/4/14,1,1,0,1,1,0,1.99980002,1.99980002,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Lizard the Wizard,26692711,11/3/15,0,1,716,0,0,30,-28.3332284,-34.17376446,19,23,27,0,4,0,683,58.38128664,6.109166559,5925,21142,27478,1416,1207,2230,BLM,3
Lowkey40,24991961,4/29/15,1,1,0,1,1,0,20.7139898,-10.66648889,1,6,7,0,0,1,0,0,0,0,0,0,0,0,0,BLM,1
LuckyLeftyy,25763355,7/13/15,0,1,13,1,0,13,-4142.208445,-5200.637774,8,18,22,4,0,0,0,0,0,0,0,0,0,0,0,BLM,2
MB298,24524350,3/24/15,0,1,940,0,0,0,85.99140086,85.99140086,1,1,1,0,0,0,894,113.2185497,87.35415594,17331,31904,40151,2899,1383,1377,BLM,2
MPS1992,26860051,11/21/15,0,1,697,0,0,24,-38.88615203,-15.35387777,167,438,448,5,0,3,666,342.7608747,-60.22963002,1219,3584,5997,363,42,1530,BLM,2
MaddiKadafy,21891220,7/23/14,0,1,309,1,0,30,61.74672194,55.42686652,476,506,612,0,10,0,273,71.34571165,55.01297272,372,385,538,1,10,2,BLM,3
ManiiMACK,23377834,12/3/14,1,1,0,1,1,0,25.99740026,25.99740026,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Mariojack3,24656564,4/6/15,0,1,858,1,0,29,194.6150104,215.0326166,12,30,52,1,17,4,819,92.89644495,134.7774034,31,36,87,0,41,8,BLM,2
