wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,event,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles
Ooopps,22117632,0,1,2014,8/8/14,1161,10/12/17,8/8/14,1,Ebola,1,1,West African Ebola virus epidemic,8/8/14,8/8/14,1.0,6.0,1.0
Pizzaguy232roundhouse,23272223,0,1,2014,11/23/14,1054,10/12/17,11/23/14,1,Ebola,1,1,Ebola virus disease,11/23/14,11/23/14,2.0,-1.0,1.0
Pookiebabie,23331249,0,1,2014,11/29/14,1048,10/12/17,11/29/14,0,Ebola,2,2,West African Ebola virus epidemic,11/29/14,11/29/14,2.0,-3.5,2.0
Princessbananahammock,22097365,0,1,2014,8/7/14,1162,10/12/17,8/7/14,1,Ebola,1,1,Ebola virus,8/7/14,8/7/14,1.0,34.0,1.0
Prisoner326,22716753,62,1,2014,12/2/14,1045,10/12/17,12/2/14,1,Ebola,1,1,West African Ebola virus epidemic,10/1/14,10/1/14,12.0,-8.583333333333334,10.0
ProfessorLuka,24252134,4,1,2015,3/2/15,955,10/12/17,3/2/15,0,Ebola,2,2,Ebola virus cases in the United States,3/2/15,2/26/15,10.0,7.8,4.0
Proficuous,22988073,1,1,2014,10/28/14,1080,10/12/17,10/28/14,1,Ebola,1,1,West African Ebola virus epidemic,10/27/14,10/27/14,9.0,25.333333333333332,2.0
PuffinSoc,22572488,120,1,2014,1/15/15,1001,10/12/17,1/15/15,0,Ebola,4,3,West African Ebola virus epidemic,9/25/14,9/17/14,901.0,291.12652608213097,571.0
Puppy9000,22747637,958,1,2014,5/20/17,145,10/12/17,5/20/17,0,Ebola,2,2,List of Ebola outbreaks,10/6/14,10/5/14,87.0,38.298850574712645,48.0
Pwfen,23673468,931,1,2015,7/22/17,82,10/12/17,7/22/17,1,Ebola,1,1,West African Ebola virus epidemic timeline,1/3/15,1/3/15,3.0,325.3333333333333,2.0
RealPyro,21981816,0,1,2014,7/31/14,1169,10/12/17,7/31/14,1,Ebola,1,1,Ebola virus disease,7/31/14,7/31/14,1.0,21.0,1.0
RegistryKey,22632709,1105,0,2014,10/2/17,10,10/12/17,10/2/17,0,Ebola,2,2,West African Ebola virus epidemic,9/30/14,9/23/14,190.0,735.3947368421053,161.0
Rich4527,22741668,0,1,2014,10/4/14,1104,10/12/17,10/4/14,1,Ebola,1,1,West African Ebola virus epidemic,10/4/14,10/4/14,1.0,93.0,1.0
Ricola.joe,22981203,0,1,2014,10/27/14,1081,10/12/17,10/27/14,1,Ebola,1,1,Ebola virus cases in the United States,10/27/14,10/27/14,3.0,33.0,1.0
Rochoa2,22926347,0,1,2014,10/22/14,1086,10/12/17,10/22/14,1,Ebola,1,1,West African Ebola virus epidemic,10/22/14,10/22/14,3.0,109.0,1.0
Sam3026885,23721311,0,1,2015,1/8/15,1008,10/12/17,1/8/15,1,Ebola,1,1,Ebola virus,1/8/15,1/8/15,4.0,824.75,1.0
Sarahkooper,23520820,0,1,2014,12/18/14,1029,10/12/17,12/18/14,1,Ebola,1,1,West African Ebola virus epidemic,12/18/14,12/18/14,2.0,527.0,1.0
Saricmu,22035931,28,1,2014,8/31/14,1138,10/12/17,8/31/14,0,Ebola,2,2,Ebola virus,8/31/14,8/3/14,4.0,-1.5,3.0
Satkara,23049166,1031,1,2014,8/29/17,44,10/12/17,8/29/17,1,Ebola,1,1,Ebola virus disease in Mali,11/3/14,11/2/14,310.0,-64.16451612903226,54.0
Scoottz,22788329,19,1,2014,10/27/14,1081,10/12/17,10/27/14,1,Ebola,1,1,West African Ebola virus epidemic,10/22/14,10/8/14,2.0,294.0,1.0
Scorcher592,22209020,62,1,2014,10/16/14,1092,10/12/17,10/16/14,1,Ebola,1,1,West African Ebola virus epidemic,8/15/14,8/15/14,6.0,-21.833333333333332,4.0
Scotch93,22249977,0,1,2014,8/18/14,1151,10/12/17,8/18/14,1,Ebola,1,1,West African Ebola virus epidemic,8/18/14,8/18/14,1.0,29.0,1.0
Sedlarczuk,23003822,1,1,2014,10/30/14,1078,10/12/17,10/30/14,1,Ebola,1,1,West African Ebola virus epidemic,10/29/14,10/29/14,3.0,0.0,1.0
Shadowvault,23005758,86,1,2014,1/23/15,993,10/12/17,1/23/15,1,Ebola,3,3,West African Ebola virus epidemic,11/10/14,10/29/14,1.0,8.0,1.0
Shastaman19,22953194,0,1,2014,10/24/14,1084,10/12/17,10/24/14,1,Ebola,1,1,West African Ebola virus epidemic,10/24/14,10/24/14,1.0,2.0,1.0
Shriram10,22233382,3,1,2014,8/20/14,1149,10/12/17,8/20/14,1,Ebola,1,1,West African Ebola virus epidemic,8/20/14,8/17/14,1.0,18.0,1.0
Sirgrossgergeofficial,22064290,202,1,2014,2/23/15,962,10/12/17,2/23/15,1,Ebola,1,1,Ebola virus,8/5/14,8/5/14,2.0,144.5,1.0
Sizzlingsteve669,22143495,0,1,2014,8/10/14,1159,10/12/17,8/10/14,1,Ebola,1,1,Ebola virus,8/10/14,8/10/14,1.0,-3325.0,1.0
Starstr,22661304,129,1,2014,2/2/15,983,10/12/17,2/2/15,1,Ebola,1,1,West African Ebola virus epidemic,9/26/14,9/26/14,722.0,441.7825484764543,64.0
Swukus,21746033,0,1,2014,7/2/14,1198,10/12/17,7/2/14,1,Ebola,1,1,West African Ebola virus epidemic,7/2/14,7/2/14,4.0,220.5,1.0
Tbnaff,22853047,0,1,2014,10/15/14,1093,10/12/17,10/15/14,1,Ebola,1,1,Ebola virus cases in the United States,10/15/14,10/15/14,2.0,195.0,1.0
Thankcleat,22223958,14,1,2014,8/30/14,1139,10/12/17,8/30/14,0,Ebola,2,2,West African Ebola virus epidemic,8/16/14,8/16/14,80.0,-546.7625,13.0
Theleo1234,23847471,0,1,2015,1/20/15,996,10/12/17,1/20/15,0,Ebola,2,2,Ebola virus,1/20/15,1/20/15,2.0,-34.0,2.0
Tjl2051,21937009,845,1,2014,11/18/16,328,10/12/17,11/18/16,0,Ebola,2,2,West African Ebola virus epidemic,8/1/14,7/27/14,356.0,78.87359550561797,141.0
Toks3257,22354476,705,1,2014,8/2/16,436,10/12/17,8/2/16,0,Ebola,2,2,Ebola virus,8/28/14,8/28/14,42.0,19.666666666666668,22.0
Tritzim,23051773,748,1,2014,11/20/16,326,10/12/17,11/20/16,1,Ebola,1,1,Ebola virus epidemic in Liberia,11/3/14,11/3/14,3.0,60.666666666666664,2.0
Ulubeyli,22139134,161,1,2014,1/17/15,999,10/12/17,1/17/15,1,Ebola,1,1,Ebola virus,8/9/14,8/9/14,6.0,110.0,6.0
VeNeMousKAT,22008334,986,1,2014,4/14/17,181,10/12/17,4/14/17,0,Ebola,2,2,Ebola virus,8/24/14,8/2/14,237.0,903.9240506329114,189.0
W12345I,23151077,0,1,2014,11/12/14,1065,10/12/17,11/12/14,1,Ebola,1,1,West African Ebola virus epidemic timeline,11/12/14,11/12/14,8.0,75.0,1.0
Wa71la,22109672,0,1,2014,8/7/14,1162,10/12/17,8/7/14,1,Ebola,1,1,West African Ebola virus epidemic,8/7/14,8/7/14,2.0,49.0,1.0
Walifa Waqar,23483832,459,1,2014,3/17/16,574,10/12/17,3/17/16,0,Ebola,2,2,West African Ebola virus epidemic,12/14/14,12/14/14,14.0,83.14285714285714,8.0
Wikimaster2525,22708031,0,1,2014,9/30/14,1108,10/12/17,9/30/14,1,Ebola,1,1,West African Ebola virus epidemic,9/30/14,9/30/14,2.0,129.5,1.0
Wikipedianeedseditting,22675187,28,1,2014,10/25/14,1083,10/12/17,10/25/14,1,Ebola,1,1,West African Ebola virus epidemic,10/25/14,9/27/14,3.0,826.3333333333334,1.0
Wikipedianorthernireland,22857347,828,1,2014,1/20/17,265,10/12/17,1/20/17,0,Ebola,2,2,Ebola virus disease,11/12/14,10/15/14,12.0,0.25,9.0
Wikiwang8,23577638,31,1,2014,1/24/15,992,10/12/17,1/24/15,0,Ebola,2,2,Ebola virus epidemic in Guinea,1/24/15,12/24/14,6.0,37.666666666666664,3.0
WilleHelm,22634215,14,1,2014,10/7/14,1101,10/12/17,10/7/14,0,Ebola,2,2,West African Ebola virus epidemic,10/7/14,9/23/14,3.0,61.666666666666664,2.0
WolverhmptonLad01,25232934,391,1,2015,6/13/16,486,10/12/17,6/13/16,0,Ebola,2,2,West African Ebola virus epidemic,6/9/15,5/19/15,38.0,48.55263157894737,5.0
Wrsa,21960546,10,1,2014,8/9/14,1160,10/12/17,8/9/14,0,Ebola,4,3,Ebola virus disease,8/2/14,7/30/14,110.0,11.627272727272727,89.0
Wwhitbyiv,25245419,309,1,2015,3/24/16,567,10/12/17,3/24/16,1,Ebola,1,1,West African Ebola virus epidemic,5/20/15,5/20/15,17.0,86.05882352941177,3.0
Wyqy,22685997,0,1,2014,9/28/14,1110,10/12/17,9/28/14,1,Ebola,1,1,West African Ebola virus epidemic,9/28/14,9/28/14,1.0,148.0,1.0
XavierItzm,22888068,1090,0,2014,10/12/17,0,10/12/17,10/12/17,1,Ebola,1,1,West African Ebola virus epidemic timeline,10/19/14,10/18/14,119.0,315.2773109243698,17.0
Xqxf,22765172,17,1,2014,10/23/14,1085,10/12/17,10/23/14,1,Ebola,1,1,Ebola virus cases in the United States,10/6/14,10/6/14,461.0,23.13882863340564,63.0
Xxxebloadubnusxxx,23436940,0,1,2014,12/9/14,1038,10/12/17,12/9/14,1,Ebola,1,1,West African Ebola virus epidemic,12/9/14,12/9/14,1.0,24.0,1.0
Yellow Dingo,23215288,728,1,2014,11/15/16,331,10/12/17,11/15/16,0,Ebola,4,3,Ebola virus disease,11/23/14,11/18/14,122.0,504.1967213114754,80.0
Yogo770,23068686,263,1,2014,7/25/15,810,10/12/17,7/25/15,1,Ebola,1,1,West African Ebola virus epidemic,11/4/14,11/4/14,30.0,46.13333333333333,12.0
2014:f.ace,22329100,232,1,2014,4/14/15,912,10/12/17,4/14/15,0,Ebola,2,2,Ebola virus cases in the United States,10/12/14,8/25/14,31.0,164.19354838709677,12.0
Aparuthi,22646930,71,1,2014,12/5/14,1042,10/12/17,12/5/14,1,Ebola,4,3,Talk:Ebola virus cases in the United States,11/10/14,9/25/14,11.0,-461.09090909090907,1.0
Cbowman7289,22645352,483,1,2014,1/20/16,631,10/12/17,1/20/16,1,Ebola,4,3,Talk:Ebola virus cases in the United States,11/10/14,9/24/14,1.0,2335.0,1.0
Crogand3,22632556,71,1,2014,12/3/14,1044,10/12/17,12/3/14,1,Ebola,4,3,Talk:Ebola virus cases in the United States,11/11/14,9/23/14,2.0,0.5,1.0
Dunkleosteus77,24697189,918,0,2015,10/13/17,-1,10/12/17,10/13/17,0,Ebola,2,2,Ebola virus epidemic in Liberia,5/15/15,4/9/15,621.0,460.0032206119163,70.0
Flyer500,21853441,1161,0,2014,9/20/17,22,10/12/17,9/20/17,0,Ebola,3,3,West African Ebola virus epidemic,8/29/14,7/17/14,173.0,69.41618497109826,33.0
FriarTuck1981,22590519,1119,0,2014,10/12/17,0,10/12/17,10/12/17,0,Ebola,2,2,Ebola virus cases in the United States,10/25/14,9/19/14,341.0,573.9178885630498,137.0
Harka1998,22388250,671,1,2014,7/2/16,467,10/12/17,7/2/16,0,Ebola,2,2,West African Ebola virus epidemic,10/8/14,8/31/14,116.0,69.17241379310344,39.0
IRW0,22287343,46,1,2014,10/6/14,1102,10/12/17,10/6/14,0,Ebola,2,2,Ebola virus cases in the United States,10/2/14,8/21/14,298.0,-103.97986577181209,57.0
Jimmywagtail01,22487294,350,1,2014,8/25/15,779,10/12/17,8/25/15,0,Ebola,2,2,Ebola virus disease in Mali,10/29/14,9/9/14,124.0,391.6532258064516,50.0
Rachelwalexander,21664415,546,1,2014,12/19/15,663,10/12/17,12/19/15,0,Ebola,4,3,List of Ebola outbreaks,8/5/14,6/21/14,22.0,87.86363636363636,13.0
SamuelOdinga,22376301,51,1,2014,10/20/14,1088,10/12/17,10/20/14,0,Ebola,2,2,West African Ebola virus epidemic,10/8/14,8/30/14,79.0,36.45569620253165,58.0
Snd0,21602800,614,1,2014,2/16/16,604,10/12/17,2/16/16,0,Ebola,2,2,West African Ebola virus epidemic,7/28/14,6/12/14,26.0,215.96153846153845,6.0
Swaggyswig,22957991,45,1,2014,12/9/14,1038,10/12/17,12/9/14,0,Ebola,2,2,West African Ebola virus epidemic,12/9/14,10/25/14,2.0,9.5,2.0
VeniVidiVici476,22423485,357,1,2014,8/26/15,778,10/12/17,8/26/15,1,Ebola,1,1,West African Ebola virus epidemic,10/14/14,9/3/14,13.0,8.461538461538462,7.0
Wikimarcel2002,23824712,110,1,2015,5/8/15,888,10/12/17,5/8/15,1,Ebola,1,1,Ebola virus,3/6/15,1/18/15,5.0,29.4,2.0
Wikitesh Thapa,21711139,49,1,2014,8/16/14,1153,10/12/17,8/16/14,0,Ebola,2,2,West African Ebola virus epidemic,8/10/14,6/28/14,5.0,29.8,4.0
42Q7,21979093,1163,0,2014,10/6/17,8,10/14/17,10/6/17,1,FIFA,1,1,2010 FIFA World Cup qualification (inter-confederation play-offs),7/31/14,7/31/14,34.0,28.676470588235293,29.0
A5176868,21647163,183,1,2014,12/18/14,1031,10/14/17,12/18/14,1,FIFA,1,1,2014 FIFA World Cup disciplinary record,6/18/14,6/18/14,2.0,22.0,1.0
AashishAashish,21785673,134,1,2014,11/19/14,1060,10/14/17,11/19/14,1,FIFA,1,1,2014 FIFA World Cup qualification,7/8/14,7/8/14,1.0,53.0,1.0
Abhinav0908,21299956,1084,1,2014,4/18/17,179,10/14/17,4/18/17,0,FIFA,3,3,2014 FIFA World Cup squads,5/10/14,4/30/14,529.0,-157.55954631379961,69.0
Abpokhrel,21558487,55,1,2014,7/30/14,1172,10/14/17,7/30/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/5/14,6/5/14,7.0,8.142857142857142,4.0
Acaddoc,21673285,22,1,2014,7/15/14,1187,10/14/17,7/15/14,0,FIFA,2,2,2014 FIFA World Cup Final,7/15/14,6/23/14,2.0,7.0,2.0
Adrian-re14,21646720,0,1,2014,6/18/14,1214,10/14/17,6/18/14,1,FIFA,1,1,2014 FIFA World Cup Group B,6/18/14,6/18/14,1.0,6.0,1.0
Adrien Glauser,21692166,238,1,2014,2/18/15,969,10/14/17,2/18/15,1,FIFA,1,1,2014 FIFA World Cup knockout stage,6/25/14,6/25/14,3.0,2.3333333333333335,1.0
Agent0047,20601081,592,1,2014,9/4/15,771,10/14/17,9/4/15,0,FIFA,2,2,Controversies surrounding Grand Theft Auto IV,1/28/14,1/20/14,152.0,-0.75,116.0
Alex 75596,21556280,33,1,2014,7/8/14,1194,10/14/17,7/8/14,0,FIFA,2,2,2014 FIFA World Cup,6/26/14,6/5/14,31.0,0.3548387096774194,13.0
Alikaraji78,21553092,47,1,2014,7/21/14,1181,10/14/17,7/21/14,0,FIFA,2,2,2014 FIFA World Cup squads,6/17/14,6/4/14,20.0,19.85,4.0
Alpha Monarch,21632347,809,1,2014,9/2/16,407,10/14/17,9/2/16,0,FIFA,3,3,FIFA,6/20/14,6/16/14,333.0,128.35735735735736,202.0
Anuragpai123,21458734,9,1,2014,5/31/14,1232,10/14/17,5/31/14,0,FIFA,2,2,2014 FIFA World Cup bids,5/26/14,5/22/14,5.0,-6.4,4.0
Ariq maul,21797377,0,1,2014,7/10/14,1192,10/14/17,7/10/14,1,FIFA,1,1,Brazil v Germany (2014 FIFA World Cup),7/10/14,7/10/14,2.0,-35.0,1.0
Arjunsanyal,21538496,1222,0,2014,10/6/17,8,10/14/17,10/6/17,0,FIFA,2,2,2018 FIFA World Cup,6/5/14,6/2/14,63.0,45.476190476190474,16.0
Arsalan a.gh,21550334,98,1,2014,9/10/14,1130,10/14/17,9/10/14,1,FIFA,1,1,2014 FIFA World Cup officials,6/20/14,6/4/14,6.0,28.5,5.0
Arslan963,21421968,0,1,2014,5/17/14,1246,10/14/17,5/17/14,0,FIFA,2,2,2014 FIFA World Cup qualification,5/17/14,5/17/14,3.0,160.0,3.0
Ashish kumar sharma99,21786302,0,1,2014,7/8/14,1194,10/14/17,7/8/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,7/8/14,7/8/14,1.0,12.0,1.0
Ashu-97,21624226,64,1,2014,8/18/14,1153,10/14/17,8/18/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/15/14,6/15/14,4.0,83.0,2.0
Asniaaprilia,21348121,0,1,2014,5/7/14,1256,10/14/17,5/7/14,1,FIFA,1,1,2014 FIFA World Cup squads,5/7/14,5/7/14,2.0,221.5,1.0
Aurelienreys,21306816,0,1,2014,5/1/14,1262,10/14/17,5/1/14,0,FIFA,2,2,2013 protests in Brazil,5/1/14,5/1/14,12.0,119.66666666666667,8.0
Bal Mungram,21767315,1156,1,2014,9/4/17,40,10/14/17,9/4/17,1,FIFA,1,1,2014 FIFA World Cup Brazil (video game),7/6/14,7/6/14,3.0,122.66666666666667,2.0
Barnaby.rostant,21714764,0,1,2014,6/28/14,1204,10/14/17,6/28/14,1,FIFA,1,1,2014 FIFA World Cup Group D,6/28/14,6/28/14,1.0,-108.0,1.0
Basefut,21738163,0,1,2014,7/1/14,1201,10/14/17,7/1/14,0,FIFA,2,2,2014 FIFA World Cup knockout stage,7/1/14,7/1/14,6.0,21.5,6.0
Bbetev2,21783006,10,1,2014,7/18/14,1184,10/14/17,7/18/14,0,FIFA,2,2,Brazil v Germany (2014 FIFA World Cup),7/10/14,7/8/14,10.0,18.8,5.0
Benjaminherberger,21635583,193,1,2014,12/27/14,1022,10/14/17,12/27/14,1,FIFA,1,1,List of 2014 FIFA World Cup controversies,6/17/14,6/17/14,3.0,670.6666666666666,2.0
BigFaCL,21314864,0,1,2014,5/2/14,1261,10/14/17,5/2/14,1,FIFA,1,1,We Are One (Ole Ola),5/2/14,5/2/14,1.0,44.0,1.0
Bmf 051,21404818,1248,0,2014,10/14/17,0,10/14/17,10/14/17,0,FIFA,4,3,2015 FIFA Women's World Cup,6/5/14,5/15/14,504.0,54.8531746031746,167.0
Cabj94,21373646,1251,0,2014,10/12/17,2,10/14/17,10/12/17,0,FIFA,2,2,2014 Women's Hockey World Cup,6/8/14,5/10/14,1948.0,498.0811088295688,184.0
Caealn,21564287,1073,1,2014,5/14/17,153,10/14/17,5/14/17,0,FIFA,2,2,Brazil national football team,7/9/14,6/6/14,597.0,42.34338358458962,380.0
Chief hiccup horrendous haddock,21480626,52,1,2014,7/16/14,1186,10/14/17,7/16/14,0,FIFA,2,2,2014 FIFA World Cup Brazil (video game),6/9/14,5/25/14,26.0,-61.76923076923077,10.0
Chris2787,21381203,0,1,2014,5/12/14,1251,10/14/17,5/12/14,1,FIFA,1,1,2014 FIFA World Cup squads,5/12/14,5/12/14,1.0,-8.0,1.0
Cjsmith.us,21746182,1033,1,2014,4/30/17,167,10/14/17,4/30/17,0,FIFA,2,2,1999 FIFA Women's World Cup,7/18/14,7/2/14,11.0,12.363636363636363,8.0
ClassicOnAStick,21693145,1207,0,2014,10/15/17,-1,10/14/17,10/15/17,0,FIFA,2,2,FIFA 08,7/28/14,6/26/14,4484.0,6.680196253345227,1659.0
Clinton30,21179961,19,1,2014,5/2/14,1261,10/14/17,5/2/14,0,FIFA,2,2,2014 FIFA World Cup broadcasting rights,5/2/14,4/13/14,2.0,103.5,2.0
Coolguy922,21562873,475,1,2014,9/23/15,752,10/14/17,9/23/15,0,FIFA,2,2,2014 FIFA World Cup,6/28/14,6/5/14,138.0,9.942028985507246,95.0
Cttuckerrrr,21729600,11,1,2014,7/11/14,1191,10/14/17,7/11/14,1,FIFA,1,1,2014 FIFA World Cup Group E,7/4/14,6/30/14,2.0,0.0,1.0
CynthiaAch,21599510,0,1,2014,6/11/14,1221,10/14/17,6/11/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/11/14,6/11/14,1.0,3.0,1.0
DestinationAlan,21614443,958,1,2014,1/26/17,261,10/14/17,1/26/17,0,FIFA,2,2,2014 FIFA World Cup Final,7/11/14,6/13/14,32.0,121.625,15.0
Ek93,21605873,0,1,2014,6/12/14,1220,10/14/17,6/12/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14,2.0,-10.0,1.0
EvanWikiby,21860056,0,1,2014,7/18/14,1184,10/14/17,7/18/14,0,FIFA,2,2,2014 FIFA World Cup Final,7/18/14,7/18/14,4.0,217.75,3.0
Extraperson,21601323,153,1,2014,11/11/14,1068,10/14/17,11/11/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/11/14,6/11/14,3.0,127.0,2.0
FCHulbenheim,21657406,5,1,2014,6/25/14,1207,10/14/17,6/25/14,0,FIFA,2,2,2026 FIFA World Cup,6/22/14,6/20/14,17.0,222.52941176470588,5.0
Fakih99,21795415,43,1,2014,8/21/14,1150,10/14/17,8/21/14,0,FIFA,2,2,2014 FIFA World Cup Final,7/9/14,7/9/14,8.0,43.75,6.0
Feelerino,21883597,156,1,2014,12/25/14,1024,10/14/17,12/25/14,1,FIFA,1,1,2014 FIFA World Cup Final,8/16/14,7/22/14,1.0,-26.0,1.0
Fgghhhjjjj,21792088,0,1,2014,7/9/14,1193,10/14/17,7/9/14,1,FIFA,1,1,2014 FIFA World Cup Group A,7/9/14,7/9/14,3.0,30.666666666666668,2.0
Flystar125,21625447,3,1,2014,6/18/14,1214,10/14/17,6/18/14,0,FIFA,2,2,2014 FIFA World Cup Group B,6/18/14,6/15/14,9.0,204.77777777777777,3.0
Football14fever,21606249,8,1,2014,6/20/14,1212,10/14/17,6/20/14,1,FIFA,1,1,2014 FIFA World Cup broadcasting rights,6/12/14,6/12/14,11.0,128.63636363636363,5.0
Frozenfire14,21678082,52,1,2014,8/14/14,1157,10/14/17,8/14/14,1,FIFA,1,1,2014 FIFA World Cup Group A,6/23/14,6/23/14,15.0,-9.733333333333333,7.0
Ftbl2014,21740386,890,1,2014,12/8/16,310,10/14/17,12/8/16,1,FIFA,1,1,List of 2014 FIFA World Cup controversies,7/2/14,7/2/14,20.0,316.3,1.0
Futeb00l,21774160,121,1,2014,11/5/14,1074,10/14/17,11/5/14,0,FIFA,2,2,2014 FIFA World Cup marketing,7/7/14,7/7/14,29.0,122.6896551724138,23.0
