wpid,userid,register,death,first_edit_type3,before_time_span,before_ave_sizediff,before_article_sizediff,before_unique_articles,before_article_count,before_edit_count,before_talk_count,before_user_count,before_usertalk_count,after_time_span,after_ave_sizediff,after_article_sizediff,after_unique_articles,after_article_count,after_edit_count,after_talk_count,after_user_count,after_usertalk_count,event.x,first_edit_type3,label,first_edit,from_event,transitivity,betweenness,betweenness_norm,closeness,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event
Cbursaw,23398438,12/5/14,1,2,28,35.98239301,35.98239301,13,57,57,0,0,0,834,38.95214938,41.93660103,161,978,1045,0,0,1,BLM,2,Cbursaw,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,BLM
CDC Latam,22210107,8/15/14,1,1,0,77.99220078,77.99220078,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,CDC Latam,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Cewlt,24382660,3/10/15,1,2,15,82.11019878,82.11019878,4,9,9,0,0,0,649,-42.03294394,-65.9197124,115,162,182,1,9,6,BLM,2,Cewlt,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Cfavsmba,23580749,12/24/14,1,2,0,16.99943335,16.99943335,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2,Cfavsmba,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,BLM
Cfcgau,23042377,11/2/14,1,1,0,-6.99930007,-6.99930007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Cfcgau,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,ebola
Chaiso123,23399457,12/6/14,1,2,0,23.49941251,2.999900003,3,3,4,0,0,1,0,0,0,0,0,0,0,0,0,ebola,2,Chaiso123,2,1,0,0,0,2.53E-07,0.000502765,2,0.001005025,1,0.000502513,1,0.000502513,2,1,1,0,ebola
ChamithN,21929136,7/26/14,0,2,30,157.5127397,72.66418054,89,137,195,10,20,20,1150,303.2767349,66.11355346,3317,12690,20272,1232,334,5067,BLM,2,ChamithN,2,1,0,606,0.000153103,2.53E-07,0.000504032,10,0.005025126,4,0.00201005,6,0.003015075,15,6,9,1.76E-05,BLM
Chibike94,21970264,7/31/14,1,1,0,-2.999850007,-2.999850007,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Chibike94,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Chief hiccup horrendous haddock,21480626,5/25/14,1,2,28,-76.66630159,-105.4204978,6,19,21,0,0,2,12,56.71347552,56.71347552,4,7,7,0,0,0,FIFA,2,Chief hiccup horrendous haddock,2,1,0,87,2.20E-05,2.58E-07,0.000513841,4,0.00201005,2,0.001005025,2,0.001005025,6,4,2,6.25E-05,FIFA
Chiffchaff2015,25571777,6/22/15,1,1,0,1.999971429,1.999971429,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Chiffchaff2015,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,BLM
Chizzy92,21965356,7/30/14,1,1,0,-12.99870013,-12.99870013,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Chizzy92,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Chris2787,21381203,5/12/14,1,1,0,-7.99920008,-7.99920008,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,FIFA,1,Chris2787,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Chyluchicago,22725398,10/2/14,1,2,24,180.3313297,82.99834003,2,5,9,4,0,0,0,0,0,0,0,0,0,0,0,ebola,2,Chyluchicago,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
CitiV,22123746,8/8/14,1,3,30,31.56344377,26.92427495,147,383,394,9,0,0,257,37.72201266,-21.49982083,7,12,18,0,0,0,BLM,3,CitiV,3,1,0,0,0,2.52E-07,0.00050226,3,0.001507538,3,0.001507538,0,0,4,4,0,0,BLM
Cjsmith.us,21746182,7/2/14,1,2,16,32.64686678,12.36352397,8,11,17,0,2,1,985,144.8413429,5.699943001,7,10,19,0,4,2,FIFA,2,Cjsmith.us,2,1,0,3,7.58E-07,2.53E-07,0.000502513,4,0.00201005,3,0.001507538,1,0.000502513,5,4,1,0,FIFA
ClassicOnAStick,21693145,6/26/14,0,2,30,-5.369120105,5.407244192,329,911,978,5,0,23,1176,5.905920202,6.650569264,13086,44003,47853,330,32,98,FIFA,2,ClassicOnAStick,2,1,0,142,3.59E-05,2.53E-07,0.000502513,6,0.003015075,5,0.002512563,1,0.000502513,10,9,1,0.000117054,FIFA
Clinton227,23274467,11/24/14,1,1,0,-207.9792021,-207.9792021,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Clinton227,1,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,3,3,0,7.23E-05,ebola
Clinton30,21179961,4/13/14,1,2,19,103.4948253,103.4948253,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,FIFA,2,Clinton30,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
CookieMonster755,22164567,8/11/14,0,3,0,0,0,0,0,0,0,0,0,1119,347.8258279,164.5184105,1188,2552,6511,1306,588,1249,BLM,3,CookieMonster755,3,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,0,BLM
Coolguy1235,23142341,11/11/14,1,1,0,24.99750025,24.99750025,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Coolguy1235,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Coolguy922,21562873,6/5/14,1,2,26,12.29409957,12.29409957,43,68,68,0,0,0,444,-7.299995706,7.035498796,117,169,170,0,0,1,FIFA,2,Coolguy922,2,1,0,0,0,2.52E-07,0.00050226,3,0.001507538,3,0.001507538,0,0,3,3,0,0,BLM
Coreysutphin,26538214,10/16/15,1,1,0,-2483.751625,-2483.751625,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Coreysutphin,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Cowpie12345678901,25800235,7/18/15,1,1,0,19.99900005,19.99900005,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Cowpie12345678901,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,BLM
Crogand3,22632556,9/23/14,1,3,2,129.7974041,0,0,0,5,0,5,0,22,419.3263446,0.499975001,1,2,6,4,0,0,ebola,3,Crogand3,3,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Cttuckerrrr,21729600,6/30/14,1,1,7,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,FIFA,1,Cttuckerrrr,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,FIFA
CyberWarfare,25812203,7/20/15,1,2,30,634.7308058,782.6977617,121,169,368,28,47,116,59,-20.35385842,769.1046154,400,525,1088,17,24,483,BLM,2,CyberWarfare,2,1,0,0,0,2.56E-07,0.000509417,13,0.006532663,0,0,13,0.006532663,15,0,15,0,BLM
CynthiaAch,21599510,6/11/14,1,1,0,2.99970003,2.99970003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,FIFA,1,CynthiaAch,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Daddy2d,23617662,12/29/14,1,1,0,56.99430057,56.99430057,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Daddy2d,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Damvile,23253239,11/21/14,1,2,22,283.9059311,255.1012238,127,306,383,24,27,11,0,0,0,0,0,0,0,0,0,BLM,2,Damvile,2,1,0,94,2.37E-05,2.53E-07,0.000502512,3,0.001507538,2,0.001005025,1,0.000502513,10,8,2,0.000201782,BLM
DangerousJXD,22220474,8/16/14,0,2,17,116.7886067,3.504198736,69,119,317,3,35,65,984,0.67683957,-13.60296658,13084,35259,39058,776,1646,755,BLM,2,DangerousJXD,2,1,0,29259.5,0.007392291,3.36E-07,0.000668822,21,0.010552764,8,0.004020101,13,0.006532663,59,25,34,0.020245886,BLM
Danjuma10,22308202,8/24/14,1,2,1,293.9958001,293.9958001,5,7,7,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2,Danjuma10,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Daqueenonmypeen,23265487,11/23/14,1,1,0,-366.4816759,-366.4816759,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Daqueenonmypeen,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,6,6,0,2.85E-06,ebola
Darcty rice,26896170,11/26/15,1,1,0,18.99810019,18.99810019,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Darcty rice,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
DatGuy,26830382,11/18/15,0,2,30,430.303421,576.3080043,377,555,1829,85,209,773,670,249.1113957,306.4652266,9765,11317,20997,452,1088,6055,BLM,2,DatGuy,2,1,0,27884.5,0.007044903,3.36E-07,0.000668733,154,0.077386935,28,0.014070352,126,0.063316583,252,54,198,0.016577492,BLM
Dbonte35,22195037,8/13/14,1,1,0,265.9734027,265.9734027,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Dbonte35,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Deangelohnynjyjyj,22947010,10/23/14,1,1,0,-114.9885011,-114.9885011,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Deangelohnynjyjyj,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Deeeogo,25780540,7/16/15,1,2,30,85.69184386,86.01955264,128,511,516,2,0,0,670,244.8444248,242.7412723,974,4414,4641,8,0,1,BLM,2,Deeeogo,2,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,1.02E-05,BLM
Deeznutzhagotem,25077931,5/5/15,1,1,10,-116.797664,-116.797664,2,5,5,0,0,0,0,-0.499975001,-0.499975001,1,2,2,0,0,0,BLM,1,Deeznutzhagotem,1,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,2,2,0,0,BLM
DeLittle,24721351,4/11/15,1,2,21,107.6918935,107.6918935,14,26,26,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2,DeLittle,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Dengg2,24345691,3/7/15,1,1,0,26.99730027,26.99730027,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Dengg2,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Denniscabrams,24382878,3/10/15,0,2,24,147.7210118,127.1510149,46,86,104,2,14,0,923,125.6071156,124.0579094,2949,5612,5704,28,27,9,BLM,2,Denniscabrams,2,1,0,0,0,2.52E-07,0.00050226,2,0.001005025,2,0.001005025,0,0,3,3,0,0,BLM
DERPALERT,24532235,3/24/15,0,3,30,90.11459228,98.18858661,39,106,157,12,22,11,906,104.1449315,115.5127404,314,784,1028,35,77,0,BLM,3,DERPALERT,3,1,0,0,0,2.52E-07,0.00050226,4,0.00201005,4,0.00201005,0,0,11,11,0,0,BLM
Desertguardsman,23595994,12/26/14,1,1,0,272.9727027,272.9727027,1,1,1,0,0,0,0,-6.666444452,-6.666444452,1,3,3,0,0,0,BLM,1,Desertguardsman,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,7.48E-08,BLM
DestinationAlan,21614443,6/13/14,1,2,1,222.8864124,222.8864124,5,9,9,0,0,0,927,228.7534963,203.2742703,215,576,637,3,2,43,FIFA,2,DestinationAlan,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,2.48E-07,FIFA
Dianaoh339,23387877,12/4/14,1,2,9,196.0377075,233.3110418,9,16,26,0,9,1,0,0,0,0,0,0,0,0,0,BLM,2,Dianaoh339,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
DiscantX,23278095,11/24/14,1,2,29,222.1912812,142.6733723,97,147,209,16,14,15,981,749.0304396,614.9113815,1649,2156,4334,85,139,1497,BLM,2,DiscantX,2,1,0,0,0,2.54E-07,0.000504795,10,0.005025126,0,0,10,0.005025126,11,0,11,0,BLM
Doc Ayomide,21941077,7/28/14,1,1,11,-9.999500025,-9.999500025,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Doc Ayomide,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Doctorjokes,22166581,8/11/14,1,1,0,217.9782022,217.9782022,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Doctorjokes,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
DomanicAssyrian,22951759,10/24/14,1,3,2,31.7774247,-6.749831254,1,4,9,0,2,0,0,0,0,0,0,0,0,0,0,ebola,3,DomanicAssyrian,3,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,0,ebola
Dontmakemetypepasswordagain,26733996,11/7/15,1,3,27,40.14979925,-62.88198305,3,17,20,0,1,2,149,711.2644444,832.4857467,6,76,272,72,0,36,BLM,3,Dontmakemetypepasswordagain,3,1,NA,0,0,2.53E-07,0.000502513,1,0.000502513,0,0,1,0.000502513,1,0,1,0,BLM
DoubleDr,23868411,1/22/15,1,2,19,463.99536,463.99536,8,10,10,0,0,0,49,565.5886882,565.5886882,4,5,5,0,0,0,ebola,2,DoubleDr,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Douglas.j.chapman,22301296,8/23/14,1,1,0,284.9715028,284.9715028,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Douglas.j.chapman,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Dr.Oberd,23509049,12/16/14,1,1,0,438.9561044,438.9561044,1,1,1,0,0,0,0,240.3253225,240.3253225,2,3,3,0,0,0,ebola,1,Dr.Oberd,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
DuckMan23,22079756,8/5/14,1,1,1,7.999800005,7.999800005,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,DuckMan23,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Dunkleosteus77,24697189,4/9/15,0,2,30,435.1341158,589.6180956,39,262,626,97,200,21,887,465.7615615,525.4480591,259,2629,4991,1076,469,222,ebola,2,Dunkleosteus77,2,1,0,492,0.000124302,2.53E-07,0.000503524,10,0.005025126,6,0.003015075,4,0.00201005,19,14,5,6.66E-05,ebola
Dylang010,22011743,8/2/14,1,1,0,-1.99980002,-1.99980002,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Dylang010,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
E10QZ,22198436,8/14/14,1,1,11,34.49827509,34.49827509,2,2,2,0,0,0,85,53.99820006,53.99820006,2,3,3,0,0,0,BLM,1,E10QZ,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
"Eat me, I'm an azuki",25540432,6/19/15,0,2,29,543.3134527,68.70723328,61,82,271,2,48,52,819,748.3880717,264.0372653,670,858,2471,49,485,673,BLM,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ebola guy,21959760,7/30/14,1,1,0,231.9922669,12.49937503,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,ebola,1,Ebola guy,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Editboyxxx999snipez,22764491,10/6/14,1,1,0,30.99845008,30.99845008,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Editboyxxx999snipez,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Ek93,21605873,6/12/14,1,1,0,-9.999500025,-9.999500025,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,FIFA,1,Ek93,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Emily1015,21730821,6/30/14,1,2,0,43.49782511,43.49782511,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,2,Emily1015,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Emmyfan,23008268,10/29/14,1,2,30,638.6835082,638.6835082,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2,Emmyfan,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000182272,BLM
Engl1105,24848423,4/20/15,1,2,17,198.7487578,220.6642148,5,9,16,0,5,1,0,0,0,0,0,0,0,0,0,BLM,2,Engl1105,2,1,NA,0,0,2.53E-07,0.000502513,1,0.000502513,0,0,1,0.000502513,1,0,1,0,BLM
Enhickman,22523564,9/13/14,1,1,0,-121.4969626,-121.4969626,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Enhickman,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
EoRdE6,22581480,9/18/14,0,2,16,531.0116948,235.0121258,111,163,423,58,11,175,1088,271.1712118,80.99541974,2773,4150,9088,591,522,1912,ebola,2,EoRdE6,2,1,0,10933,0.002762177,2.68E-07,0.000532728,45,0.022613065,5,0.002512563,40,0.020100503,75,9,66,0.000236659,BLM
Erinarrow,25137754,5/10/15,0,1,0,-1198.880112,-1198.880112,1,1,1,0,0,0,0,415.9584042,0,0,0,1,0,1,0,ebola,1,Erinarrow,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
EternalNomad,24473955,3/19/15,0,3,19,41.04329981,35.42840272,13,21,23,1,1,0,911,179.0597265,82.70838672,520,1406,1674,42,9,9,BLM,3,EternalNomad,3,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Ethanhuron,24668182,4/6/15,1,1,0,8.99910009,8.99910009,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,Ethanhuron,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
EvanWikiby,21860056,7/18/14,1,2,0,215.9969143,217.7445564,3,4,7,0,3,0,0,0,0,0,0,0,0,0,0,FIFA,2,EvanWikiby,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Everrreton,23275635,11/24/14,1,1,0,235.9882006,235.9882006,1,2,2,0,0,0,244,178.8284011,144.9830917,22,60,105,1,43,1,BLM,1,Everrreton,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
Excetor,22525551,9/13/14,1,1,0,-109.4945253,-109.4945253,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Excetor,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
ExoSuho,21844486,7/16/14,1,1,17,6.666444452,-45.99770011,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,ebola,1,ExoSuho,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,2,2,0,2.48E-06,ebola
Extraperson,21601323,6/11/14,1,1,0,126.9957668,126.9957668,2,3,3,0,0,0,5,648.4675766,648.4675766,2,2,2,0,0,0,FIFA,1,Extraperson,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
F Camp,22126370,8/8/14,1,2,24,292.1183521,216.7608726,4,21,42,16,4,1,3,277.6788893,23.85680205,1,7,25,13,0,5,ebola,2,F Camp,2,1,0,66,1.67E-05,2.61E-07,0.000519437,2,0.001005025,1,0.000502513,1,0.000502513,3,1,2,4.05E-06,ebola
F8Rx,23388662,12/4/14,1,1,0,2.99970003,2.99970003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,F8Rx,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,BLM
FACTSvsOPINION,25829255,7/22/15,1,1,0,993.9006099,993.9006099,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1,FACTSvsOPINION,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Fakecolepoland,22002453,8/1/14,1,1,0,20.99790021,20.99790021,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,Fakecolepoland,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Fakih99,21795415,7/9/14,1,2,2,43.74945313,43.74945313,6,8,8,0,0,0,0,14.99850015,0,0,0,1,0,1,0,FIFA,2,Fakih99,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,FIFA
Fatnard,24976792,4/28/15,1,1,2,976.9674344,907.9546023,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,BLM,1,Fatnard,1,1,0,512,0.000129355,3.39E-07,0.000674515,3,0.001507538,2,0.001005025,1,0.000502513,3,2,1,0,BLM
FCHulbenheim,21657406,6/20/14,1,2,5,222.5281028,222.5281028,5,17,17,0,0,0,0,0,0,0,0,0,0,0,0,FIFA,2,FCHulbenheim,2,1,0,0,0,2.52E-07,0.00050226,6,0.003015075,6,0.003015075,0,0,7,7,0,0.00010988,FIFA
Feelerino,21883597,7/22/14,1,1,0,-25.99740026,-25.99740026,1,1,1,0,0,0,0,-0.99990001,-0.99990001,1,1,1,0,0,0,FIFA,1,Feelerino,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
